Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Header1, Column
DS1_anime_plain1.png,33,1,anime,plain,1,Score,J
DS2_anime_plain2.png,34,2,anime,plain,2,Plan to Watch,I
DS3_anime_plain3.png,35,3,anime,plain,3,Popularity,G
DS4_anime_plain4.png,36,4,anime,plain,4,Score,K
DS5_cereal_zebra1.png,21,5,cereal,zebra,1,Sodium,I
DS6_cereal_zebra2.png,22,6,cereal,zebra,2,Score,H
DS7_cereal_zebra3.png,23,7,cereal,zebra,3,Carbo,J
DS8_cereal_zebra4.png,24,8,cereal,zebra,4,Sodium,K
DS9_candy_bar1.png,57,9,candy,bar,1,Rating,K
DS10_candy_bar2.png,58,10,candy,bar,2,Caramel,J
DS11_candy_bar3.png,59,11,candy,bar,3,SugarPercent,G
DS12_candy_bar4.png,60,12,candy,bar,4,Bar,I
DS13_movie_color1.png,13,13,movie,color,1,Metacritic,H
DS14_movie_color2.png,14,14,movie,color,2,Netflix,I
DS15_movie_color3.png,15,15,movie,color,3,Fandango,J
DS16_movie_color4.png,16,16,movie,color,4,Naver,G
DS1_anime_plain1.png,33,1,anime,plain,1,Score,J
DS2_anime_plain2.png,34,2,anime,plain,2,Plan to Watch,I
DS3_anime_plain3.png,35,3,anime,plain,3,Popularity,G
DS4_anime_plain4.png,36,4,anime,plain,4,Score,K
DS5_cereal_zebra1.png,21,5,cereal,zebra,1,Sodium,I
DS6_cereal_zebra2.png,22,6,cereal,zebra,2,Score,H
DS7_cereal_zebra3.png,23,7,cereal,zebra,3,Carbo,J
DS8_cereal_zebra4.png,24,8,cereal,zebra,4,Sodium,K
DS9_candy_bar1.png,57,9,candy,bar,1,Rating,K
DS10_candy_bar2.png,58,10,candy,bar,2,Caramel,J
DS11_candy_bar3.png,59,11,candy,bar,3,SugarPercent,G
DS12_candy_bar4.png,60,12,candy,bar,4,Bar,I
DS13_movie_color1.png,13,13,movie,color,1,Metacritic,H
DS14_movie_color2.png,14,14,movie,color,2,Netflix,I
DS15_movie_color3.png,15,15,movie,color,3,Fandango,J
DS16_movie_color4.png,16,16,movie,color,4,Naver,G
DS1_anime_plain1.png,33,1,anime,plain,1,Score,J
DS2_anime_plain2.png,34,2,anime,plain,2,Plan to Watch,I
DS3_anime_plain3.png,35,3,anime,plain,3,Popularity,G
DS4_anime_plain4.png,36,4,anime,plain,4,Score,K
DS5_cereal_zebra1.png,21,5,cereal,zebra,1,Sodium,I
DS6_cereal_zebra2.png,22,6,cereal,zebra,2,Score,H
DS7_cereal_zebra3.png,23,7,cereal,zebra,3,Carbo,J
DS8_cereal_zebra4.png,24,8,cereal,zebra,4,Sodium,K
DS9_candy_bar1.png,57,9,candy,bar,1,Rating,K
DS10_candy_bar2.png,58,10,candy,bar,2,Caramel,J
DS11_candy_bar3.png,59,11,candy,bar,3,SugarPercent,G
DS12_candy_bar4.png,60,12,candy,bar,4,Bar,I
DS13_movie_color1.png,13,13,movie,color,1,Metacritic,H
DS14_movie_color2.png,14,14,movie,color,2,Netflix,I
DS15_movie_color3.png,15,15,movie,color,3,Fandango,J
DS16_movie_color4.png,16,16,movie,color,4,Naver,G
DS1_anime_plain1.png,33,1,anime,plain,1,Score,J
DS2_anime_plain2.png,34,2,anime,plain,2,Plan to Watch,I
DS3_anime_plain3.png,35,3,anime,plain,3,Popularity,G
DS4_anime_plain4.png,36,4,anime,plain,4,Score,K
DS5_cereal_zebra1.png,21,5,cereal,zebra,1,Sodium,I
DS6_cereal_zebra2.png,22,6,cereal,zebra,2,Score,H
DS7_cereal_zebra3.png,23,7,cereal,zebra,3,Carbo,J
DS8_cereal_zebra4.png,24,8,cereal,zebra,4,Sodium,K
DS9_candy_bar1.png,57,9,candy,bar,1,Rating,K
DS10_candy_bar2.png,58,10,candy,bar,2,Caramel,J
DS11_candy_bar3.png,59,11,candy,bar,3,SugarPercent,G
DS12_candy_bar4.png,60,12,candy,bar,4,Bar,I
DS13_movie_color1.png,13,13,movie,color,1,Metacritic,H
DS14_movie_color2.png,14,14,movie,color,2,Netflix,I
DS15_movie_color3.png,15,15,movie,color,3,Fandango,J
DS16_movie_color4.png,16,16,movie,color,4,Naver,G
DS1_anime_plain1.png,33,1,anime,plain,1,Score,J
DS2_anime_plain2.png,34,2,anime,plain,2,Plan to Watch,I
DS3_anime_plain3.png,35,3,anime,plain,3,Popularity,G
DS4_anime_plain4.png,36,4,anime,plain,4,Score,K
DS5_cereal_zebra1.png,21,5,cereal,zebra,1,Sodium,I
DS6_cereal_zebra2.png,22,6,cereal,zebra,2,Score,H
DS7_cereal_zebra3.png,23,7,cereal,zebra,3,Carbo,J
DS8_cereal_zebra4.png,24,8,cereal,zebra,4,Sodium,K
DS9_candy_bar1.png,57,9,candy,bar,1,Rating,K
DS10_candy_bar2.png,58,10,candy,bar,2,Caramel,J
DS11_candy_bar3.png,59,11,candy,bar,3,SugarPercent,G
DS12_candy_bar4.png,60,12,candy,bar,4,Bar,I
DS13_movie_color1.png,13,13,movie,color,1,Metacritic,H
DS14_movie_color2.png,14,14,movie,color,2,Netflix,I
DS15_movie_color3.png,15,15,movie,color,3,Fandango,J
DS16_movie_color4.png,16,16,movie,color,4,Naver,G
