Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Header, Column
DS1_anime_color1.png,1,1,anime,color,1,Watching,J
DS2_anime_color2.png,2,2,anime,color,2,Popularity,I
DS3_anime_color3.png,3,3,anime,color,3,Watching,G
DS4_anime_color4.png,4,4,anime,color,4,Members,K
DS5_cereal_zebra1.png,21,5,cereal,zebra,1,Sodium,I
DS6_cereal_zebra2.png,22,6,cereal,zebra,2,Score,H
DS7_cereal_zebra3.png,23,7,cereal,zebra,3,Carbo,J
DS8_cereal_zebra4.png,24,8,cereal,zebra,4,Sodium,K
DS9_candy_plain1.png,41,9,candy,plain,1,Fruity,K
DS10_candy_plain2.png,42,10,candy,plain,2,Rating,J
DS11_candy_plain3.png,43,11,candy,plain,3,Pluribus,G
DS12_candy_plain4.png,44,12,candy,plain,4,Nougat,I
DS13_movie_bar1.png,61,13,movie,bar,1,Fandango,H
DS14_movie_bar2.png,62,14,movie,bar,2,Hulu,I
DS15_movie_bar3.png,63,15,movie,bar,3,PluggedIn,J
DS16_movie_bar4.png,64,16,movie,bar,4,Netflix,G
DS1_anime_color1.png,1,1,anime,color,1,Watching,J
DS2_anime_color2.png,2,2,anime,color,2,Popularity,I
DS3_anime_color3.png,3,3,anime,color,3,Watching,G
DS4_anime_color4.png,4,4,anime,color,4,Members,K
DS5_cereal_zebra1.png,21,5,cereal,zebra,1,Sodium,I
DS6_cereal_zebra2.png,22,6,cereal,zebra,2,Score,H
DS7_cereal_zebra3.png,23,7,cereal,zebra,3,Carbo,J
DS8_cereal_zebra4.png,24,8,cereal,zebra,4,Sodium,K
DS9_candy_plain1.png,41,9,candy,plain,1,Fruity,K
DS10_candy_plain2.png,42,10,candy,plain,2,Rating,J
DS11_candy_plain3.png,43,11,candy,plain,3,Pluribus,G
DS12_candy_plain4.png,44,12,candy,plain,4,Nougat,I
DS13_movie_bar1.png,61,13,movie,bar,1,Fandango,H
DS14_movie_bar2.png,62,14,movie,bar,2,Hulu,I
DS15_movie_bar3.png,63,15,movie,bar,3,PluggedIn,J
DS16_movie_bar4.png,64,16,movie,bar,4,Netflix,G
DS1_anime_color1.png,1,1,anime,color,1,Watching,J
DS2_anime_color2.png,2,2,anime,color,2,Popularity,I
DS3_anime_color3.png,3,3,anime,color,3,Watching,G
DS4_anime_color4.png,4,4,anime,color,4,Members,K
DS5_cereal_zebra1.png,21,5,cereal,zebra,1,Sodium,I
DS6_cereal_zebra2.png,22,6,cereal,zebra,2,Score,H
DS7_cereal_zebra3.png,23,7,cereal,zebra,3,Carbo,J
DS8_cereal_zebra4.png,24,8,cereal,zebra,4,Sodium,K
DS9_candy_plain1.png,41,9,candy,plain,1,Fruity,K
DS10_candy_plain2.png,42,10,candy,plain,2,Rating,J
DS11_candy_plain3.png,43,11,candy,plain,3,Pluribus,G
DS12_candy_plain4.png,44,12,candy,plain,4,Nougat,I
DS13_movie_bar1.png,61,13,movie,bar,1,Fandango,H
DS14_movie_bar2.png,62,14,movie,bar,2,Hulu,I
DS15_movie_bar3.png,63,15,movie,bar,3,PluggedIn,J
DS16_movie_bar4.png,64,16,movie,bar,4,Netflix,G
DS1_anime_color1.png,1,1,anime,color,1,Watching,J
DS2_anime_color2.png,2,2,anime,color,2,Popularity,I
DS3_anime_color3.png,3,3,anime,color,3,Watching,G
DS4_anime_color4.png,4,4,anime,color,4,Members,K
DS5_cereal_zebra1.png,21,5,cereal,zebra,1,Sodium,I
DS6_cereal_zebra2.png,22,6,cereal,zebra,2,Score,H
DS7_cereal_zebra3.png,23,7,cereal,zebra,3,Carbo,J
DS8_cereal_zebra4.png,24,8,cereal,zebra,4,Sodium,K
DS9_candy_plain1.png,41,9,candy,plain,1,Fruity,K
DS10_candy_plain2.png,42,10,candy,plain,2,Rating,J
DS11_candy_plain3.png,43,11,candy,plain,3,Pluribus,G
DS12_candy_plain4.png,44,12,candy,plain,4,Nougat,I
DS13_movie_bar1.png,61,13,movie,bar,1,Fandango,H
DS14_movie_bar2.png,62,14,movie,bar,2,Hulu,I
DS15_movie_bar3.png,63,15,movie,bar,3,PluggedIn,J
DS16_movie_bar4.png,64,16,movie,bar,4,Netflix,G
DS1_anime_color1.png,1,1,anime,color,1,Watching,J
DS2_anime_color2.png,2,2,anime,color,2,Popularity,I
DS3_anime_color3.png,3,3,anime,color,3,Watching,G
DS4_anime_color4.png,4,4,anime,color,4,Members,K
DS5_cereal_zebra1.png,21,5,cereal,zebra,1,Sodium,I
DS6_cereal_zebra2.png,22,6,cereal,zebra,2,Score,H
DS7_cereal_zebra3.png,23,7,cereal,zebra,3,Carbo,J
DS8_cereal_zebra4.png,24,8,cereal,zebra,4,Sodium,K
DS9_candy_plain1.png,41,9,candy,plain,1,Fruity,K
DS10_candy_plain2.png,42,10,candy,plain,2,Rating,J
DS11_candy_plain3.png,43,11,candy,plain,3,Pluribus,G
DS12_candy_plain4.png,44,12,candy,plain,4,Nougat,I
DS13_movie_bar1.png,61,13,movie,bar,1,Fandango,H
DS14_movie_bar2.png,62,14,movie,bar,2,Hulu,I
DS15_movie_bar3.png,63,15,movie,bar,3,PluggedIn,J
DS16_movie_bar4.png,64,16,movie,bar,4,Netflix,G
