Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Header1, Column
DS1_anime_plain1.png,33,1,anime,plain,1,Score,J
DS2_anime_plain2.png,34,2,anime,plain,2,Plan to Watch,I
DS3_anime_plain3.png,35,3,anime,plain,3,Popularity,G
DS4_anime_plain4.png,36,4,anime,plain,4,Score,K
DS5_cereal_color1.png,5,5,cereal,color,1,Sodium,I
DS6_cereal_color2.png,6,6,cereal,color,2,Carbo,H
DS7_cereal_color3.png,7,7,cereal,color,3,Protein,J
DS8_cereal_color4.png,8,8,cereal,color,4,Fat,K
DS9_candy_zebra1.png,25,9,candy,zebra,1,SugarPercent,K
DS10_candy_zebra2.png,26,10,candy,zebra,2,Caramel,J
DS11_candy_zebra3.png,27,11,candy,zebra,3,SugarPercent,G
DS12_candy_zebra4.png,28,12,candy,zebra,4,Caramel,I
DS13_movie_bar1.png,61,13,movie,bar,1,Fandango,H
DS14_movie_bar2.png,62,14,movie,bar,2,Hulu,I
DS15_movie_bar3.png,63,15,movie,bar,3,PluggedIn,J
DS16_movie_bar4.png,64,16,movie,bar,4,Netflix,G
DS1_anime_plain1.png,33,1,anime,plain,1,Score,J
DS2_anime_plain2.png,34,2,anime,plain,2,Plan to Watch,I
DS3_anime_plain3.png,35,3,anime,plain,3,Popularity,G
DS4_anime_plain4.png,36,4,anime,plain,4,Score,K
DS5_cereal_color1.png,5,5,cereal,color,1,Sodium,I
DS6_cereal_color2.png,6,6,cereal,color,2,Carbo,H
DS7_cereal_color3.png,7,7,cereal,color,3,Protein,J
DS8_cereal_color4.png,8,8,cereal,color,4,Fat,K
DS9_candy_zebra1.png,25,9,candy,zebra,1,SugarPercent,K
DS10_candy_zebra2.png,26,10,candy,zebra,2,Caramel,J
DS11_candy_zebra3.png,27,11,candy,zebra,3,SugarPercent,G
DS12_candy_zebra4.png,28,12,candy,zebra,4,Caramel,I
DS13_movie_bar1.png,61,13,movie,bar,1,Fandango,H
DS14_movie_bar2.png,62,14,movie,bar,2,Hulu,I
DS15_movie_bar3.png,63,15,movie,bar,3,PluggedIn,J
DS16_movie_bar4.png,64,16,movie,bar,4,Netflix,G
DS1_anime_plain1.png,33,1,anime,plain,1,Score,J
DS2_anime_plain2.png,34,2,anime,plain,2,Plan to Watch,I
DS3_anime_plain3.png,35,3,anime,plain,3,Popularity,G
DS4_anime_plain4.png,36,4,anime,plain,4,Score,K
DS5_cereal_color1.png,5,5,cereal,color,1,Sodium,I
DS6_cereal_color2.png,6,6,cereal,color,2,Carbo,H
DS7_cereal_color3.png,7,7,cereal,color,3,Protein,J
DS8_cereal_color4.png,8,8,cereal,color,4,Fat,K
DS9_candy_zebra1.png,25,9,candy,zebra,1,SugarPercent,K
DS10_candy_zebra2.png,26,10,candy,zebra,2,Caramel,J
DS11_candy_zebra3.png,27,11,candy,zebra,3,SugarPercent,G
DS12_candy_zebra4.png,28,12,candy,zebra,4,Caramel,I
DS13_movie_bar1.png,61,13,movie,bar,1,Fandango,H
DS14_movie_bar2.png,62,14,movie,bar,2,Hulu,I
DS15_movie_bar3.png,63,15,movie,bar,3,PluggedIn,J
DS16_movie_bar4.png,64,16,movie,bar,4,Netflix,G
DS1_anime_plain1.png,33,1,anime,plain,1,Score,J
DS2_anime_plain2.png,34,2,anime,plain,2,Plan to Watch,I
DS3_anime_plain3.png,35,3,anime,plain,3,Popularity,G
DS4_anime_plain4.png,36,4,anime,plain,4,Score,K
DS5_cereal_color1.png,5,5,cereal,color,1,Sodium,I
DS6_cereal_color2.png,6,6,cereal,color,2,Carbo,H
DS7_cereal_color3.png,7,7,cereal,color,3,Protein,J
DS8_cereal_color4.png,8,8,cereal,color,4,Fat,K
DS9_candy_zebra1.png,25,9,candy,zebra,1,SugarPercent,K
DS10_candy_zebra2.png,26,10,candy,zebra,2,Caramel,J
DS11_candy_zebra3.png,27,11,candy,zebra,3,SugarPercent,G
DS12_candy_zebra4.png,28,12,candy,zebra,4,Caramel,I
DS13_movie_bar1.png,61,13,movie,bar,1,Fandango,H
DS14_movie_bar2.png,62,14,movie,bar,2,Hulu,I
DS15_movie_bar3.png,63,15,movie,bar,3,PluggedIn,J
DS16_movie_bar4.png,64,16,movie,bar,4,Netflix,G
DS1_anime_plain1.png,33,1,anime,plain,1,Score,J
DS2_anime_plain2.png,34,2,anime,plain,2,Plan to Watch,I
DS3_anime_plain3.png,35,3,anime,plain,3,Popularity,G
DS4_anime_plain4.png,36,4,anime,plain,4,Score,K
DS5_cereal_color1.png,5,5,cereal,color,1,Sodium,I
DS6_cereal_color2.png,6,6,cereal,color,2,Carbo,H
DS7_cereal_color3.png,7,7,cereal,color,3,Protein,J
DS8_cereal_color4.png,8,8,cereal,color,4,Fat,K
DS9_candy_zebra1.png,25,9,candy,zebra,1,SugarPercent,K
DS10_candy_zebra2.png,26,10,candy,zebra,2,Caramel,J
DS11_candy_zebra3.png,27,11,candy,zebra,3,SugarPercent,G
DS12_candy_zebra4.png,28,12,candy,zebra,4,Caramel,I
DS13_movie_bar1.png,61,13,movie,bar,1,Fandango,H
DS14_movie_bar2.png,62,14,movie,bar,2,Hulu,I
DS15_movie_bar3.png,63,15,movie,bar,3,PluggedIn,J
DS16_movie_bar4.png,64,16,movie,bar,4,Netflix,G
