Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Header1, Column
DS1_anime_color1.png,1,1,anime,color,1,Watching,J
DS2_anime_color2.png,2,2,anime,color,2,Popularity,I
DS3_anime_color3.png,3,3,anime,color,3,Watching,G
DS4_anime_color4.png,4,4,anime,color,4,Members,K
DS5_cereal_bar1.png,53,5,cereal,bar,1,Carbo,I
DS6_cereal_bar2.png,54,6,cereal,bar,2,Sodium,H
DS7_cereal_bar3.png,55,7,cereal,bar,3,Carbo,J
DS8_cereal_bar4.png,56,8,cereal,bar,4,Sugars,K
DS9_candy_zebra1.png,25,9,candy,zebra,1,SugarPercent,K
DS10_candy_zebra2.png,26,10,candy,zebra,2,Caramel,J
DS11_candy_zebra3.png,27,11,candy,zebra,3,SugarPercent,G
DS12_candy_zebra4.png,28,12,candy,zebra,4,Caramel,I
DS13_movie_plain1.png,45,13,movie,plain,1,Hulu,H
DS14_movie_plain2.png,46,14,movie,plain,2,MrQE,I
DS15_movie_plain3.png,47,15,movie,plain,3,Netflix,J
DS16_movie_plain4.png,48,16,movie,plain,4,Hulu,G
DS1_anime_color1.png,1,1,anime,color,1,Watching,J
DS2_anime_color2.png,2,2,anime,color,2,Popularity,I
DS3_anime_color3.png,3,3,anime,color,3,Watching,G
DS4_anime_color4.png,4,4,anime,color,4,Members,K
DS5_cereal_bar1.png,53,5,cereal,bar,1,Carbo,I
DS6_cereal_bar2.png,54,6,cereal,bar,2,Sodium,H
DS7_cereal_bar3.png,55,7,cereal,bar,3,Carbo,J
DS8_cereal_bar4.png,56,8,cereal,bar,4,Sugars,K
DS9_candy_zebra1.png,25,9,candy,zebra,1,SugarPercent,K
DS10_candy_zebra2.png,26,10,candy,zebra,2,Caramel,J
DS11_candy_zebra3.png,27,11,candy,zebra,3,SugarPercent,G
DS12_candy_zebra4.png,28,12,candy,zebra,4,Caramel,I
DS13_movie_plain1.png,45,13,movie,plain,1,Hulu,H
DS14_movie_plain2.png,46,14,movie,plain,2,MrQE,I
DS15_movie_plain3.png,47,15,movie,plain,3,Netflix,J
DS16_movie_plain4.png,48,16,movie,plain,4,Hulu,G
DS1_anime_color1.png,1,1,anime,color,1,Watching,J
DS2_anime_color2.png,2,2,anime,color,2,Popularity,I
DS3_anime_color3.png,3,3,anime,color,3,Watching,G
DS4_anime_color4.png,4,4,anime,color,4,Members,K
DS5_cereal_bar1.png,53,5,cereal,bar,1,Carbo,I
DS6_cereal_bar2.png,54,6,cereal,bar,2,Sodium,H
DS7_cereal_bar3.png,55,7,cereal,bar,3,Carbo,J
DS8_cereal_bar4.png,56,8,cereal,bar,4,Sugars,K
DS9_candy_zebra1.png,25,9,candy,zebra,1,SugarPercent,K
DS10_candy_zebra2.png,26,10,candy,zebra,2,Caramel,J
DS11_candy_zebra3.png,27,11,candy,zebra,3,SugarPercent,G
DS12_candy_zebra4.png,28,12,candy,zebra,4,Caramel,I
DS13_movie_plain1.png,45,13,movie,plain,1,Hulu,H
DS14_movie_plain2.png,46,14,movie,plain,2,MrQE,I
DS15_movie_plain3.png,47,15,movie,plain,3,Netflix,J
DS16_movie_plain4.png,48,16,movie,plain,4,Hulu,G
DS1_anime_color1.png,1,1,anime,color,1,Watching,J
DS2_anime_color2.png,2,2,anime,color,2,Popularity,I
DS3_anime_color3.png,3,3,anime,color,3,Watching,G
DS4_anime_color4.png,4,4,anime,color,4,Members,K
DS5_cereal_bar1.png,53,5,cereal,bar,1,Carbo,I
DS6_cereal_bar2.png,54,6,cereal,bar,2,Sodium,H
DS7_cereal_bar3.png,55,7,cereal,bar,3,Carbo,J
DS8_cereal_bar4.png,56,8,cereal,bar,4,Sugars,K
DS9_candy_zebra1.png,25,9,candy,zebra,1,SugarPercent,K
DS10_candy_zebra2.png,26,10,candy,zebra,2,Caramel,J
DS11_candy_zebra3.png,27,11,candy,zebra,3,SugarPercent,G
DS12_candy_zebra4.png,28,12,candy,zebra,4,Caramel,I
DS13_movie_plain1.png,45,13,movie,plain,1,Hulu,H
DS14_movie_plain2.png,46,14,movie,plain,2,MrQE,I
DS15_movie_plain3.png,47,15,movie,plain,3,Netflix,J
DS16_movie_plain4.png,48,16,movie,plain,4,Hulu,G
DS1_anime_color1.png,1,1,anime,color,1,Watching,J
DS2_anime_color2.png,2,2,anime,color,2,Popularity,I
DS3_anime_color3.png,3,3,anime,color,3,Watching,G
DS4_anime_color4.png,4,4,anime,color,4,Members,K
DS5_cereal_bar1.png,53,5,cereal,bar,1,Carbo,I
DS6_cereal_bar2.png,54,6,cereal,bar,2,Sodium,H
DS7_cereal_bar3.png,55,7,cereal,bar,3,Carbo,J
DS8_cereal_bar4.png,56,8,cereal,bar,4,Sugars,K
DS9_candy_zebra1.png,25,9,candy,zebra,1,SugarPercent,K
DS10_candy_zebra2.png,26,10,candy,zebra,2,Caramel,J
DS11_candy_zebra3.png,27,11,candy,zebra,3,SugarPercent,G
DS12_candy_zebra4.png,28,12,candy,zebra,4,Caramel,I
DS13_movie_plain1.png,45,13,movie,plain,1,Hulu,H
DS14_movie_plain2.png,46,14,movie,plain,2,MrQE,I
DS15_movie_plain3.png,47,15,movie,plain,3,Netflix,J
DS16_movie_plain4.png,48,16,movie,plain,4,Hulu,G
