Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Header, Column
DS1_anime_color1.png,1,1,anime,color,1,Watching,J
DS2_anime_color2.png,2,2,anime,color,2,Popularity,I
DS3_anime_color3.png,3,3,anime,color,3,Watching,G
DS4_anime_color4.png,4,4,anime,color,4,Members,K
DS5_cereal_plain1.png,37,5,cereal,plain,1,Potassium,I
DS6_cereal_plain2.png,38,6,cereal,plain,2,Carbo,H
DS7_cereal_plain3.png,39,7,cereal,plain,3,Score,J
DS8_cereal_plain4.png,40,8,cereal,plain,4,Vitamins,K
DS9_candy_bar1.png,57,9,candy,bar,1,Rating,K
DS10_candy_bar2.png,58,10,candy,bar,2,Caramel,J
DS11_candy_bar3.png,59,11,candy,bar,3,SugarPercent,G
DS12_candy_bar4.png,60,12,candy,bar,4,Bar,I
DS13_movie_zebra1.png,29,13,movie,zebra,1,Fandango,H
DS14_movie_zebra2.png,30,14,movie,zebra,2,PluggedIn,I
DS15_movie_zebra3.png,31,15,movie,zebra,3,Hulu,J
DS16_movie_zebra4.png,32,16,movie,zebra,4,Metacritic,G
DS1_anime_color1.png,1,1,anime,color,1,Watching,J
DS2_anime_color2.png,2,2,anime,color,2,Popularity,I
DS3_anime_color3.png,3,3,anime,color,3,Watching,G
DS4_anime_color4.png,4,4,anime,color,4,Members,K
DS5_cereal_plain1.png,37,5,cereal,plain,1,Potassium,I
DS6_cereal_plain2.png,38,6,cereal,plain,2,Carbo,H
DS7_cereal_plain3.png,39,7,cereal,plain,3,Score,J
DS8_cereal_plain4.png,40,8,cereal,plain,4,Vitamins,K
DS9_candy_bar1.png,57,9,candy,bar,1,Rating,K
DS10_candy_bar2.png,58,10,candy,bar,2,Caramel,J
DS11_candy_bar3.png,59,11,candy,bar,3,SugarPercent,G
DS12_candy_bar4.png,60,12,candy,bar,4,Bar,I
DS13_movie_zebra1.png,29,13,movie,zebra,1,Fandango,H
DS14_movie_zebra2.png,30,14,movie,zebra,2,PluggedIn,I
DS15_movie_zebra3.png,31,15,movie,zebra,3,Hulu,J
DS16_movie_zebra4.png,32,16,movie,zebra,4,Metacritic,G
DS1_anime_color1.png,1,1,anime,color,1,Watching,J
DS2_anime_color2.png,2,2,anime,color,2,Popularity,I
DS3_anime_color3.png,3,3,anime,color,3,Watching,G
DS4_anime_color4.png,4,4,anime,color,4,Members,K
DS5_cereal_plain1.png,37,5,cereal,plain,1,Potassium,I
DS6_cereal_plain2.png,38,6,cereal,plain,2,Carbo,H
DS7_cereal_plain3.png,39,7,cereal,plain,3,Score,J
DS8_cereal_plain4.png,40,8,cereal,plain,4,Vitamins,K
DS9_candy_bar1.png,57,9,candy,bar,1,Rating,K
DS10_candy_bar2.png,58,10,candy,bar,2,Caramel,J
DS11_candy_bar3.png,59,11,candy,bar,3,SugarPercent,G
DS12_candy_bar4.png,60,12,candy,bar,4,Bar,I
DS13_movie_zebra1.png,29,13,movie,zebra,1,Fandango,H
DS14_movie_zebra2.png,30,14,movie,zebra,2,PluggedIn,I
DS15_movie_zebra3.png,31,15,movie,zebra,3,Hulu,J
DS16_movie_zebra4.png,32,16,movie,zebra,4,Metacritic,G
DS1_anime_color1.png,1,1,anime,color,1,Watching,J
DS2_anime_color2.png,2,2,anime,color,2,Popularity,I
DS3_anime_color3.png,3,3,anime,color,3,Watching,G
DS4_anime_color4.png,4,4,anime,color,4,Members,K
DS5_cereal_plain1.png,37,5,cereal,plain,1,Potassium,I
DS6_cereal_plain2.png,38,6,cereal,plain,2,Carbo,H
DS7_cereal_plain3.png,39,7,cereal,plain,3,Score,J
DS8_cereal_plain4.png,40,8,cereal,plain,4,Vitamins,K
DS9_candy_bar1.png,57,9,candy,bar,1,Rating,K
DS10_candy_bar2.png,58,10,candy,bar,2,Caramel,J
DS11_candy_bar3.png,59,11,candy,bar,3,SugarPercent,G
DS12_candy_bar4.png,60,12,candy,bar,4,Bar,I
DS13_movie_zebra1.png,29,13,movie,zebra,1,Fandango,H
DS14_movie_zebra2.png,30,14,movie,zebra,2,PluggedIn,I
DS15_movie_zebra3.png,31,15,movie,zebra,3,Hulu,J
DS16_movie_zebra4.png,32,16,movie,zebra,4,Metacritic,G
DS1_anime_color1.png,1,1,anime,color,1,Watching,J
DS2_anime_color2.png,2,2,anime,color,2,Popularity,I
DS3_anime_color3.png,3,3,anime,color,3,Watching,G
DS4_anime_color4.png,4,4,anime,color,4,Members,K
DS5_cereal_plain1.png,37,5,cereal,plain,1,Potassium,I
DS6_cereal_plain2.png,38,6,cereal,plain,2,Carbo,H
DS7_cereal_plain3.png,39,7,cereal,plain,3,Score,J
DS8_cereal_plain4.png,40,8,cereal,plain,4,Vitamins,K
DS9_candy_bar1.png,57,9,candy,bar,1,Rating,K
DS10_candy_bar2.png,58,10,candy,bar,2,Caramel,J
DS11_candy_bar3.png,59,11,candy,bar,3,SugarPercent,G
DS12_candy_bar4.png,60,12,candy,bar,4,Bar,I
DS13_movie_zebra1.png,29,13,movie,zebra,1,Fandango,H
DS14_movie_zebra2.png,30,14,movie,zebra,2,PluggedIn,I
DS15_movie_zebra3.png,31,15,movie,zebra,3,Hulu,J
DS16_movie_zebra4.png,32,16,movie,zebra,4,Metacritic,G
