Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Header, Column
DS1_anime_plain1.png,33,1,anime,plain,1,Score,J
DS2_anime_plain2.png,34,2,anime,plain,2,Plan to Watch,I
DS3_anime_plain3.png,35,3,anime,plain,3,Popularity,G
DS4_anime_plain4.png,36,4,anime,plain,4,Score,K
DS5_cereal_bar1.png,53,5,cereal,bar,1,Carbo,I
DS6_cereal_bar2.png,54,6,cereal,bar,2,Sodium,H
DS7_cereal_bar3.png,55,7,cereal,bar,3,Carbo,J
DS8_cereal_bar4.png,56,8,cereal,bar,4,Sugars,K
DS9_candy_color1.png,9,9,candy,color,1,Hard,K
DS10_candy_color2.png,10,10,candy,color,2,SugarPercent,J
DS11_candy_color3.png,11,11,candy,color,3,Caramel,G
DS12_candy_color4.png,12,12,candy,color,4,SugarPercent,I
DS13_movie_zebra1.png,29,13,movie,zebra,1,Fandango,H
DS14_movie_zebra2.png,30,14,movie,zebra,2,PluggedIn,I
DS15_movie_zebra3.png,31,15,movie,zebra,3,Hulu,J
DS16_movie_zebra4.png,32,16,movie,zebra,4,Metacritic,G
DS1_anime_plain1.png,33,1,anime,plain,1,Score,J
DS2_anime_plain2.png,34,2,anime,plain,2,Plan to Watch,I
DS3_anime_plain3.png,35,3,anime,plain,3,Popularity,G
DS4_anime_plain4.png,36,4,anime,plain,4,Score,K
DS5_cereal_bar1.png,53,5,cereal,bar,1,Carbo,I
DS6_cereal_bar2.png,54,6,cereal,bar,2,Sodium,H
DS7_cereal_bar3.png,55,7,cereal,bar,3,Carbo,J
DS8_cereal_bar4.png,56,8,cereal,bar,4,Sugars,K
DS9_candy_color1.png,9,9,candy,color,1,Hard,K
DS10_candy_color2.png,10,10,candy,color,2,SugarPercent,J
DS11_candy_color3.png,11,11,candy,color,3,Caramel,G
DS12_candy_color4.png,12,12,candy,color,4,SugarPercent,I
DS13_movie_zebra1.png,29,13,movie,zebra,1,Fandango,H
DS14_movie_zebra2.png,30,14,movie,zebra,2,PluggedIn,I
DS15_movie_zebra3.png,31,15,movie,zebra,3,Hulu,J
DS16_movie_zebra4.png,32,16,movie,zebra,4,Metacritic,G
DS1_anime_plain1.png,33,1,anime,plain,1,Score,J
DS2_anime_plain2.png,34,2,anime,plain,2,Plan to Watch,I
DS3_anime_plain3.png,35,3,anime,plain,3,Popularity,G
DS4_anime_plain4.png,36,4,anime,plain,4,Score,K
DS5_cereal_bar1.png,53,5,cereal,bar,1,Carbo,I
DS6_cereal_bar2.png,54,6,cereal,bar,2,Sodium,H
DS7_cereal_bar3.png,55,7,cereal,bar,3,Carbo,J
DS8_cereal_bar4.png,56,8,cereal,bar,4,Sugars,K
DS9_candy_color1.png,9,9,candy,color,1,Hard,K
DS10_candy_color2.png,10,10,candy,color,2,SugarPercent,J
DS11_candy_color3.png,11,11,candy,color,3,Caramel,G
DS12_candy_color4.png,12,12,candy,color,4,SugarPercent,I
DS13_movie_zebra1.png,29,13,movie,zebra,1,Fandango,H
DS14_movie_zebra2.png,30,14,movie,zebra,2,PluggedIn,I
DS15_movie_zebra3.png,31,15,movie,zebra,3,Hulu,J
DS16_movie_zebra4.png,32,16,movie,zebra,4,Metacritic,G
DS1_anime_plain1.png,33,1,anime,plain,1,Score,J
DS2_anime_plain2.png,34,2,anime,plain,2,Plan to Watch,I
DS3_anime_plain3.png,35,3,anime,plain,3,Popularity,G
DS4_anime_plain4.png,36,4,anime,plain,4,Score,K
DS5_cereal_bar1.png,53,5,cereal,bar,1,Carbo,I
DS6_cereal_bar2.png,54,6,cereal,bar,2,Sodium,H
DS7_cereal_bar3.png,55,7,cereal,bar,3,Carbo,J
DS8_cereal_bar4.png,56,8,cereal,bar,4,Sugars,K
DS9_candy_color1.png,9,9,candy,color,1,Hard,K
DS10_candy_color2.png,10,10,candy,color,2,SugarPercent,J
DS11_candy_color3.png,11,11,candy,color,3,Caramel,G
DS12_candy_color4.png,12,12,candy,color,4,SugarPercent,I
DS13_movie_zebra1.png,29,13,movie,zebra,1,Fandango,H
DS14_movie_zebra2.png,30,14,movie,zebra,2,PluggedIn,I
DS15_movie_zebra3.png,31,15,movie,zebra,3,Hulu,J
DS16_movie_zebra4.png,32,16,movie,zebra,4,Metacritic,G
DS1_anime_plain1.png,33,1,anime,plain,1,Score,J
DS2_anime_plain2.png,34,2,anime,plain,2,Plan to Watch,I
DS3_anime_plain3.png,35,3,anime,plain,3,Popularity,G
DS4_anime_plain4.png,36,4,anime,plain,4,Score,K
DS5_cereal_bar1.png,53,5,cereal,bar,1,Carbo,I
DS6_cereal_bar2.png,54,6,cereal,bar,2,Sodium,H
DS7_cereal_bar3.png,55,7,cereal,bar,3,Carbo,J
DS8_cereal_bar4.png,56,8,cereal,bar,4,Sugars,K
DS9_candy_color1.png,9,9,candy,color,1,Hard,K
DS10_candy_color2.png,10,10,candy,color,2,SugarPercent,J
DS11_candy_color3.png,11,11,candy,color,3,Caramel,G
DS12_candy_color4.png,12,12,candy,color,4,SugarPercent,I
DS13_movie_zebra1.png,29,13,movie,zebra,1,Fandango,H
DS14_movie_zebra2.png,30,14,movie,zebra,2,PluggedIn,I
DS15_movie_zebra3.png,31,15,movie,zebra,3,Hulu,J
DS16_movie_zebra4.png,32,16,movie,zebra,4,Metacritic,G
