Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Header1, Column
DS1_anime_zebra1.png,17,1,anime,zebra,1,On-Hold,J
DS2_anime_zebra2.png,18,2,anime,zebra,2,Favorites,I
DS3_anime_zebra3.png,19,3,anime,zebra,3,On-Hold,G
DS4_anime_zebra4.png,20,4,anime,zebra,4,Score,K
DS5_cereal_color1.png,5,5,cereal,color,1,Sodium,I
DS6_cereal_color2.png,6,6,cereal,color,2,Carbo,H
DS7_cereal_color3.png,7,7,cereal,color,3,Protein,J
DS8_cereal_color4.png,8,8,cereal,color,4,Fat,K
DS9_candy_bar1.png,57,9,candy,bar,1,Rating,K
DS10_candy_bar2.png,58,10,candy,bar,2,Caramel,J
DS11_candy_bar3.png,59,11,candy,bar,3,SugarPercent,G
DS12_candy_bar4.png,60,12,candy,bar,4,Bar,I
DS13_movie_plain1.png,45,13,movie,plain,1,Hulu,H
DS14_movie_plain2.png,46,14,movie,plain,2,MrQE,I
DS15_movie_plain3.png,47,15,movie,plain,3,Netflix,J
DS16_movie_plain4.png,48,16,movie,plain,4,Hulu,G
DS1_anime_zebra1.png,17,1,anime,zebra,1,On-Hold,J
DS2_anime_zebra2.png,18,2,anime,zebra,2,Favorites,I
DS3_anime_zebra3.png,19,3,anime,zebra,3,On-Hold,G
DS4_anime_zebra4.png,20,4,anime,zebra,4,Score,K
DS5_cereal_color1.png,5,5,cereal,color,1,Sodium,I
DS6_cereal_color2.png,6,6,cereal,color,2,Carbo,H
DS7_cereal_color3.png,7,7,cereal,color,3,Protein,J
DS8_cereal_color4.png,8,8,cereal,color,4,Fat,K
DS9_candy_bar1.png,57,9,candy,bar,1,Rating,K
DS10_candy_bar2.png,58,10,candy,bar,2,Caramel,J
DS11_candy_bar3.png,59,11,candy,bar,3,SugarPercent,G
DS12_candy_bar4.png,60,12,candy,bar,4,Bar,I
DS13_movie_plain1.png,45,13,movie,plain,1,Hulu,H
DS14_movie_plain2.png,46,14,movie,plain,2,MrQE,I
DS15_movie_plain3.png,47,15,movie,plain,3,Netflix,J
DS16_movie_plain4.png,48,16,movie,plain,4,Hulu,G
DS1_anime_zebra1.png,17,1,anime,zebra,1,On-Hold,J
DS2_anime_zebra2.png,18,2,anime,zebra,2,Favorites,I
DS3_anime_zebra3.png,19,3,anime,zebra,3,On-Hold,G
DS4_anime_zebra4.png,20,4,anime,zebra,4,Score,K
DS5_cereal_color1.png,5,5,cereal,color,1,Sodium,I
DS6_cereal_color2.png,6,6,cereal,color,2,Carbo,H
DS7_cereal_color3.png,7,7,cereal,color,3,Protein,J
DS8_cereal_color4.png,8,8,cereal,color,4,Fat,K
DS9_candy_bar1.png,57,9,candy,bar,1,Rating,K
DS10_candy_bar2.png,58,10,candy,bar,2,Caramel,J
DS11_candy_bar3.png,59,11,candy,bar,3,SugarPercent,G
DS12_candy_bar4.png,60,12,candy,bar,4,Bar,I
DS13_movie_plain1.png,45,13,movie,plain,1,Hulu,H
DS14_movie_plain2.png,46,14,movie,plain,2,MrQE,I
DS15_movie_plain3.png,47,15,movie,plain,3,Netflix,J
DS16_movie_plain4.png,48,16,movie,plain,4,Hulu,G
DS1_anime_zebra1.png,17,1,anime,zebra,1,On-Hold,J
DS2_anime_zebra2.png,18,2,anime,zebra,2,Favorites,I
DS3_anime_zebra3.png,19,3,anime,zebra,3,On-Hold,G
DS4_anime_zebra4.png,20,4,anime,zebra,4,Score,K
DS5_cereal_color1.png,5,5,cereal,color,1,Sodium,I
DS6_cereal_color2.png,6,6,cereal,color,2,Carbo,H
DS7_cereal_color3.png,7,7,cereal,color,3,Protein,J
DS8_cereal_color4.png,8,8,cereal,color,4,Fat,K
DS9_candy_bar1.png,57,9,candy,bar,1,Rating,K
DS10_candy_bar2.png,58,10,candy,bar,2,Caramel,J
DS11_candy_bar3.png,59,11,candy,bar,3,SugarPercent,G
DS12_candy_bar4.png,60,12,candy,bar,4,Bar,I
DS13_movie_plain1.png,45,13,movie,plain,1,Hulu,H
DS14_movie_plain2.png,46,14,movie,plain,2,MrQE,I
DS15_movie_plain3.png,47,15,movie,plain,3,Netflix,J
DS16_movie_plain4.png,48,16,movie,plain,4,Hulu,G
DS1_anime_zebra1.png,17,1,anime,zebra,1,On-Hold,J
DS2_anime_zebra2.png,18,2,anime,zebra,2,Favorites,I
DS3_anime_zebra3.png,19,3,anime,zebra,3,On-Hold,G
DS4_anime_zebra4.png,20,4,anime,zebra,4,Score,K
DS5_cereal_color1.png,5,5,cereal,color,1,Sodium,I
DS6_cereal_color2.png,6,6,cereal,color,2,Carbo,H
DS7_cereal_color3.png,7,7,cereal,color,3,Protein,J
DS8_cereal_color4.png,8,8,cereal,color,4,Fat,K
DS9_candy_bar1.png,57,9,candy,bar,1,Rating,K
DS10_candy_bar2.png,58,10,candy,bar,2,Caramel,J
DS11_candy_bar3.png,59,11,candy,bar,3,SugarPercent,G
DS12_candy_bar4.png,60,12,candy,bar,4,Bar,I
DS13_movie_plain1.png,45,13,movie,plain,1,Hulu,H
DS14_movie_plain2.png,46,14,movie,plain,2,MrQE,I
DS15_movie_plain3.png,47,15,movie,plain,3,Netflix,J
DS16_movie_plain4.png,48,16,movie,plain,4,Hulu,G
