Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Header1, Column
DS1_anime_bar1.png,49,1,anime,bar,1,Completed,J
DS2_anime_bar2.png,50,2,anime,bar,2,Members,I
DS3_anime_bar3.png,51,3,anime,bar,3,Ranked,G
DS4_anime_bar4.png,52,4,anime,bar,4,Score,K
DS5_cereal_plain1.png,37,5,cereal,plain,1,Potassium,I
DS6_cereal_plain2.png,38,6,cereal,plain,2,Carbo,H
DS7_cereal_plain3.png,39,7,cereal,plain,3,Score,J
DS8_cereal_plain4.png,40,8,cereal,plain,4,Vitamins,K
DS9_candy_zebra1.png,25,9,candy,zebra,1,SugarPercent,K
DS10_candy_zebra2.png,26,10,candy,zebra,2,Caramel,J
DS11_candy_zebra3.png,27,11,candy,zebra,3,SugarPercent,G
DS12_candy_zebra4.png,28,12,candy,zebra,4,Caramel,I
DS13_movie_color1.png,13,13,movie,color,1,Metacritic,H
DS14_movie_color2.png,14,14,movie,color,2,Netflix,I
DS15_movie_color3.png,15,15,movie,color,3,Fandango,J
DS16_movie_color4.png,16,16,movie,color,4,Naver,G
DS1_anime_bar1.png,49,1,anime,bar,1,Completed,J
DS2_anime_bar2.png,50,2,anime,bar,2,Members,I
DS3_anime_bar3.png,51,3,anime,bar,3,Ranked,G
DS4_anime_bar4.png,52,4,anime,bar,4,Score,K
DS5_cereal_plain1.png,37,5,cereal,plain,1,Potassium,I
DS6_cereal_plain2.png,38,6,cereal,plain,2,Carbo,H
DS7_cereal_plain3.png,39,7,cereal,plain,3,Score,J
DS8_cereal_plain4.png,40,8,cereal,plain,4,Vitamins,K
DS9_candy_zebra1.png,25,9,candy,zebra,1,SugarPercent,K
DS10_candy_zebra2.png,26,10,candy,zebra,2,Caramel,J
DS11_candy_zebra3.png,27,11,candy,zebra,3,SugarPercent,G
DS12_candy_zebra4.png,28,12,candy,zebra,4,Caramel,I
DS13_movie_color1.png,13,13,movie,color,1,Metacritic,H
DS14_movie_color2.png,14,14,movie,color,2,Netflix,I
DS15_movie_color3.png,15,15,movie,color,3,Fandango,J
DS16_movie_color4.png,16,16,movie,color,4,Naver,G
DS1_anime_bar1.png,49,1,anime,bar,1,Completed,J
DS2_anime_bar2.png,50,2,anime,bar,2,Members,I
DS3_anime_bar3.png,51,3,anime,bar,3,Ranked,G
DS4_anime_bar4.png,52,4,anime,bar,4,Score,K
DS5_cereal_plain1.png,37,5,cereal,plain,1,Potassium,I
DS6_cereal_plain2.png,38,6,cereal,plain,2,Carbo,H
DS7_cereal_plain3.png,39,7,cereal,plain,3,Score,J
DS8_cereal_plain4.png,40,8,cereal,plain,4,Vitamins,K
DS9_candy_zebra1.png,25,9,candy,zebra,1,SugarPercent,K
DS10_candy_zebra2.png,26,10,candy,zebra,2,Caramel,J
DS11_candy_zebra3.png,27,11,candy,zebra,3,SugarPercent,G
DS12_candy_zebra4.png,28,12,candy,zebra,4,Caramel,I
DS13_movie_color1.png,13,13,movie,color,1,Metacritic,H
DS14_movie_color2.png,14,14,movie,color,2,Netflix,I
DS15_movie_color3.png,15,15,movie,color,3,Fandango,J
DS16_movie_color4.png,16,16,movie,color,4,Naver,G
DS1_anime_bar1.png,49,1,anime,bar,1,Completed,J
DS2_anime_bar2.png,50,2,anime,bar,2,Members,I
DS3_anime_bar3.png,51,3,anime,bar,3,Ranked,G
DS4_anime_bar4.png,52,4,anime,bar,4,Score,K
DS5_cereal_plain1.png,37,5,cereal,plain,1,Potassium,I
DS6_cereal_plain2.png,38,6,cereal,plain,2,Carbo,H
DS7_cereal_plain3.png,39,7,cereal,plain,3,Score,J
DS8_cereal_plain4.png,40,8,cereal,plain,4,Vitamins,K
DS9_candy_zebra1.png,25,9,candy,zebra,1,SugarPercent,K
DS10_candy_zebra2.png,26,10,candy,zebra,2,Caramel,J
DS11_candy_zebra3.png,27,11,candy,zebra,3,SugarPercent,G
DS12_candy_zebra4.png,28,12,candy,zebra,4,Caramel,I
DS13_movie_color1.png,13,13,movie,color,1,Metacritic,H
DS14_movie_color2.png,14,14,movie,color,2,Netflix,I
DS15_movie_color3.png,15,15,movie,color,3,Fandango,J
DS16_movie_color4.png,16,16,movie,color,4,Naver,G
DS1_anime_bar1.png,49,1,anime,bar,1,Completed,J
DS2_anime_bar2.png,50,2,anime,bar,2,Members,I
DS3_anime_bar3.png,51,3,anime,bar,3,Ranked,G
DS4_anime_bar4.png,52,4,anime,bar,4,Score,K
DS5_cereal_plain1.png,37,5,cereal,plain,1,Potassium,I
DS6_cereal_plain2.png,38,6,cereal,plain,2,Carbo,H
DS7_cereal_plain3.png,39,7,cereal,plain,3,Score,J
DS8_cereal_plain4.png,40,8,cereal,plain,4,Vitamins,K
DS9_candy_zebra1.png,25,9,candy,zebra,1,SugarPercent,K
DS10_candy_zebra2.png,26,10,candy,zebra,2,Caramel,J
DS11_candy_zebra3.png,27,11,candy,zebra,3,SugarPercent,G
DS12_candy_zebra4.png,28,12,candy,zebra,4,Caramel,I
DS13_movie_color1.png,13,13,movie,color,1,Metacritic,H
DS14_movie_color2.png,14,14,movie,color,2,Netflix,I
DS15_movie_color3.png,15,15,movie,color,3,Fandango,J
DS16_movie_color4.png,16,16,movie,color,4,Naver,G
