Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Header, Column
DS1_anime_zebra1.png,17,1,anime,zebra,1,On-Hold,J
DS2_anime_zebra2.png,18,2,anime,zebra,2,Favorites,I
DS3_anime_zebra3.png,19,3,anime,zebra,3,On-Hold,G
DS4_anime_zebra4.png,20,4,anime,zebra,4,Score,K
DS5_cereal_bar1.png,53,5,cereal,bar,1,Carbo,I
DS6_cereal_bar2.png,54,6,cereal,bar,2,Sodium,H
DS7_cereal_bar3.png,55,7,cereal,bar,3,Carbo,J
DS8_cereal_bar4.png,56,8,cereal,bar,4,Sugars,K
DS9_candy_plain1.png,41,9,candy,plain,1,Fruity,K
DS10_candy_plain2.png,42,10,candy,plain,2,Rating,J
DS11_candy_plain3.png,43,11,candy,plain,3,Pluribus,G
DS12_candy_plain4.png,44,12,candy,plain,4,Nougat,I
DS13_movie_color1.png,13,13,movie,color,1,Metacritic,H
DS14_movie_color2.png,14,14,movie,color,2,Netflix,I
DS15_movie_color3.png,15,15,movie,color,3,Fandango,J
DS16_movie_color4.png,16,16,movie,color,4,Naver,G
DS1_anime_zebra1.png,17,1,anime,zebra,1,On-Hold,J
DS2_anime_zebra2.png,18,2,anime,zebra,2,Favorites,I
DS3_anime_zebra3.png,19,3,anime,zebra,3,On-Hold,G
DS4_anime_zebra4.png,20,4,anime,zebra,4,Score,K
DS5_cereal_bar1.png,53,5,cereal,bar,1,Carbo,I
DS6_cereal_bar2.png,54,6,cereal,bar,2,Sodium,H
DS7_cereal_bar3.png,55,7,cereal,bar,3,Carbo,J
DS8_cereal_bar4.png,56,8,cereal,bar,4,Sugars,K
DS9_candy_plain1.png,41,9,candy,plain,1,Fruity,K
DS10_candy_plain2.png,42,10,candy,plain,2,Rating,J
DS11_candy_plain3.png,43,11,candy,plain,3,Pluribus,G
DS12_candy_plain4.png,44,12,candy,plain,4,Nougat,I
DS13_movie_color1.png,13,13,movie,color,1,Metacritic,H
DS14_movie_color2.png,14,14,movie,color,2,Netflix,I
DS15_movie_color3.png,15,15,movie,color,3,Fandango,J
DS16_movie_color4.png,16,16,movie,color,4,Naver,G
DS1_anime_zebra1.png,17,1,anime,zebra,1,On-Hold,J
DS2_anime_zebra2.png,18,2,anime,zebra,2,Favorites,I
DS3_anime_zebra3.png,19,3,anime,zebra,3,On-Hold,G
DS4_anime_zebra4.png,20,4,anime,zebra,4,Score,K
DS5_cereal_bar1.png,53,5,cereal,bar,1,Carbo,I
DS6_cereal_bar2.png,54,6,cereal,bar,2,Sodium,H
DS7_cereal_bar3.png,55,7,cereal,bar,3,Carbo,J
DS8_cereal_bar4.png,56,8,cereal,bar,4,Sugars,K
DS9_candy_plain1.png,41,9,candy,plain,1,Fruity,K
DS10_candy_plain2.png,42,10,candy,plain,2,Rating,J
DS11_candy_plain3.png,43,11,candy,plain,3,Pluribus,G
DS12_candy_plain4.png,44,12,candy,plain,4,Nougat,I
DS13_movie_color1.png,13,13,movie,color,1,Metacritic,H
DS14_movie_color2.png,14,14,movie,color,2,Netflix,I
DS15_movie_color3.png,15,15,movie,color,3,Fandango,J
DS16_movie_color4.png,16,16,movie,color,4,Naver,G
DS1_anime_zebra1.png,17,1,anime,zebra,1,On-Hold,J
DS2_anime_zebra2.png,18,2,anime,zebra,2,Favorites,I
DS3_anime_zebra3.png,19,3,anime,zebra,3,On-Hold,G
DS4_anime_zebra4.png,20,4,anime,zebra,4,Score,K
DS5_cereal_bar1.png,53,5,cereal,bar,1,Carbo,I
DS6_cereal_bar2.png,54,6,cereal,bar,2,Sodium,H
DS7_cereal_bar3.png,55,7,cereal,bar,3,Carbo,J
DS8_cereal_bar4.png,56,8,cereal,bar,4,Sugars,K
DS9_candy_plain1.png,41,9,candy,plain,1,Fruity,K
DS10_candy_plain2.png,42,10,candy,plain,2,Rating,J
DS11_candy_plain3.png,43,11,candy,plain,3,Pluribus,G
DS12_candy_plain4.png,44,12,candy,plain,4,Nougat,I
DS13_movie_color1.png,13,13,movie,color,1,Metacritic,H
DS14_movie_color2.png,14,14,movie,color,2,Netflix,I
DS15_movie_color3.png,15,15,movie,color,3,Fandango,J
DS16_movie_color4.png,16,16,movie,color,4,Naver,G
DS1_anime_zebra1.png,17,1,anime,zebra,1,On-Hold,J
DS2_anime_zebra2.png,18,2,anime,zebra,2,Favorites,I
DS3_anime_zebra3.png,19,3,anime,zebra,3,On-Hold,G
DS4_anime_zebra4.png,20,4,anime,zebra,4,Score,K
DS5_cereal_bar1.png,53,5,cereal,bar,1,Carbo,I
DS6_cereal_bar2.png,54,6,cereal,bar,2,Sodium,H
DS7_cereal_bar3.png,55,7,cereal,bar,3,Carbo,J
DS8_cereal_bar4.png,56,8,cereal,bar,4,Sugars,K
DS9_candy_plain1.png,41,9,candy,plain,1,Fruity,K
DS10_candy_plain2.png,42,10,candy,plain,2,Rating,J
DS11_candy_plain3.png,43,11,candy,plain,3,Pluribus,G
DS12_candy_plain4.png,44,12,candy,plain,4,Nougat,I
DS13_movie_color1.png,13,13,movie,color,1,Metacritic,H
DS14_movie_color2.png,14,14,movie,color,2,Netflix,I
DS15_movie_color3.png,15,15,movie,color,3,Fandango,J
DS16_movie_color4.png,16,16,movie,color,4,Naver,G
