Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Header, Column
DS1_anime_bar1.png,49,1,anime,bar,1,Completed,J
DS2_anime_bar2.png,50,2,anime,bar,2,Members,I
DS3_anime_bar3.png,51,3,anime,bar,3,Ranked,G
DS4_anime_bar4.png,52,4,anime,bar,4,Score,K
DS5_cereal_color1.png,5,5,cereal,color,1,Sodium,I
DS6_cereal_color2.png,6,6,cereal,color,2,Carbo,H
DS7_cereal_color3.png,7,7,cereal,color,3,Protein,J
DS8_cereal_color4.png,8,8,cereal,color,4,Fat,K
DS9_candy_zebra1.png,25,9,candy,zebra,1,SugarPercent,K
DS10_candy_zebra2.png,26,10,candy,zebra,2,Caramel,J
DS11_candy_zebra3.png,27,11,candy,zebra,3,SugarPercent,G
DS12_candy_zebra4.png,28,12,candy,zebra,4,Caramel,I
DS13_movie_plain1.png,45,13,movie,plain,1,Hulu,H
DS14_movie_plain2.png,46,14,movie,plain,2,MrQE,I
DS15_movie_plain3.png,47,15,movie,plain,3,Netflix,J
DS16_movie_plain4.png,48,16,movie,plain,4,Hulu,G
DS1_anime_bar1.png,49,1,anime,bar,1,Completed,J
DS2_anime_bar2.png,50,2,anime,bar,2,Members,I
DS3_anime_bar3.png,51,3,anime,bar,3,Ranked,G
DS4_anime_bar4.png,52,4,anime,bar,4,Score,K
DS5_cereal_color1.png,5,5,cereal,color,1,Sodium,I
DS6_cereal_color2.png,6,6,cereal,color,2,Carbo,H
DS7_cereal_color3.png,7,7,cereal,color,3,Protein,J
DS8_cereal_color4.png,8,8,cereal,color,4,Fat,K
DS9_candy_zebra1.png,25,9,candy,zebra,1,SugarPercent,K
DS10_candy_zebra2.png,26,10,candy,zebra,2,Caramel,J
DS11_candy_zebra3.png,27,11,candy,zebra,3,SugarPercent,G
DS12_candy_zebra4.png,28,12,candy,zebra,4,Caramel,I
DS13_movie_plain1.png,45,13,movie,plain,1,Hulu,H
DS14_movie_plain2.png,46,14,movie,plain,2,MrQE,I
DS15_movie_plain3.png,47,15,movie,plain,3,Netflix,J
DS16_movie_plain4.png,48,16,movie,plain,4,Hulu,G
DS1_anime_bar1.png,49,1,anime,bar,1,Completed,J
DS2_anime_bar2.png,50,2,anime,bar,2,Members,I
DS3_anime_bar3.png,51,3,anime,bar,3,Ranked,G
DS4_anime_bar4.png,52,4,anime,bar,4,Score,K
DS5_cereal_color1.png,5,5,cereal,color,1,Sodium,I
DS6_cereal_color2.png,6,6,cereal,color,2,Carbo,H
DS7_cereal_color3.png,7,7,cereal,color,3,Protein,J
DS8_cereal_color4.png,8,8,cereal,color,4,Fat,K
DS9_candy_zebra1.png,25,9,candy,zebra,1,SugarPercent,K
DS10_candy_zebra2.png,26,10,candy,zebra,2,Caramel,J
DS11_candy_zebra3.png,27,11,candy,zebra,3,SugarPercent,G
DS12_candy_zebra4.png,28,12,candy,zebra,4,Caramel,I
DS13_movie_plain1.png,45,13,movie,plain,1,Hulu,H
DS14_movie_plain2.png,46,14,movie,plain,2,MrQE,I
DS15_movie_plain3.png,47,15,movie,plain,3,Netflix,J
DS16_movie_plain4.png,48,16,movie,plain,4,Hulu,G
DS1_anime_bar1.png,49,1,anime,bar,1,Completed,J
DS2_anime_bar2.png,50,2,anime,bar,2,Members,I
DS3_anime_bar3.png,51,3,anime,bar,3,Ranked,G
DS4_anime_bar4.png,52,4,anime,bar,4,Score,K
DS5_cereal_color1.png,5,5,cereal,color,1,Sodium,I
DS6_cereal_color2.png,6,6,cereal,color,2,Carbo,H
DS7_cereal_color3.png,7,7,cereal,color,3,Protein,J
DS8_cereal_color4.png,8,8,cereal,color,4,Fat,K
DS9_candy_zebra1.png,25,9,candy,zebra,1,SugarPercent,K
DS10_candy_zebra2.png,26,10,candy,zebra,2,Caramel,J
DS11_candy_zebra3.png,27,11,candy,zebra,3,SugarPercent,G
DS12_candy_zebra4.png,28,12,candy,zebra,4,Caramel,I
DS13_movie_plain1.png,45,13,movie,plain,1,Hulu,H
DS14_movie_plain2.png,46,14,movie,plain,2,MrQE,I
DS15_movie_plain3.png,47,15,movie,plain,3,Netflix,J
DS16_movie_plain4.png,48,16,movie,plain,4,Hulu,G
DS1_anime_bar1.png,49,1,anime,bar,1,Completed,J
DS2_anime_bar2.png,50,2,anime,bar,2,Members,I
DS3_anime_bar3.png,51,3,anime,bar,3,Ranked,G
DS4_anime_bar4.png,52,4,anime,bar,4,Score,K
DS5_cereal_color1.png,5,5,cereal,color,1,Sodium,I
DS6_cereal_color2.png,6,6,cereal,color,2,Carbo,H
DS7_cereal_color3.png,7,7,cereal,color,3,Protein,J
DS8_cereal_color4.png,8,8,cereal,color,4,Fat,K
DS9_candy_zebra1.png,25,9,candy,zebra,1,SugarPercent,K
DS10_candy_zebra2.png,26,10,candy,zebra,2,Caramel,J
DS11_candy_zebra3.png,27,11,candy,zebra,3,SugarPercent,G
DS12_candy_zebra4.png,28,12,candy,zebra,4,Caramel,I
DS13_movie_plain1.png,45,13,movie,plain,1,Hulu,H
DS14_movie_plain2.png,46,14,movie,plain,2,MrQE,I
DS15_movie_plain3.png,47,15,movie,plain,3,Netflix,J
DS16_movie_plain4.png,48,16,movie,plain,4,Hulu,G
