Header1, Column,Par 1, Prompt , Answer,Answer Column / Row1
Watching,J,80,"In the 'Watching' column, count how many cells exceed the value of '80' ",7,J
Popularity,I,70,"In the 'Popularity' column, count how many cells exceed the value of '70' ",6,I
Watching,G,88,"In the 'Watching' column, count how many cells exceed the value of '88' ",5,G
Members,K,43,"In the 'Members' column, count how many cells exceed the value of '43' ",8,K
Carbo,I,57,"In the 'Carbo' column, count how many cells exceed the value of '57' ",8,I
Sodium,H,70,"In the 'Sodium' column, count how many cells exceed the value of '70' ",5,H
Carbo,J,45,"In the 'Carbo' column, count how many cells exceed the value of '45' ",6,J
Sugars,K,60,"In the 'Sugars' column, count how many cells exceed the value of '60' ",7,K
Fruity,K,66,"In the 'Fruity' column, count how many cells exceed the value of '66' ",5,K
Rating,J,38,"In the 'Rating' column, count how many cells exceed the value of '38' ",8,J
Pluribus,G,50,"In the 'Pluribus' column, count how many cells exceed the value of '50' ",7,G
Nougat,I,57,"In the 'Nougat' column, count how many cells exceed the value of '57' ",6,I
Fandango,H,70,"In the 'Fandango' column, count how many cells exceed the value of '70' ",5,H
PluggedIn,I,76,"In the 'PluggedIn' column, count how many cells exceed the value of '76' ",8,I
Hulu,J,54,"In the 'Hulu' column, count how many cells exceed the value of '54' ",7,J
Metacritic,G,57,"In the 'Metacritic' column, count how many cells exceed the value of '57' ",6,G
Episodes,C,0.9092102829133202,Determine which of the last 5 columns is most positively correalated with the first column named 'Episodes' ,Completed,I
Plan to Watch,C,0.94286333401893,Determine which of the last 5 columns is most positively correalated with the first column named 'Plan to Watch' ,Favorites,L
Completed,C,0.9730627334501696,Determine which of the last 5 columns is most positively correalated with the first column named 'Completed' ,Episodes,K
Score,C,0.9544895140214856,Determine which of the last 5 columns is most positively correalated with the first column named 'Score' ,Dropped,J
Potassium,C,0.9184836043043162,Determine which of the last 5 columns is most positively correalated with the first column named 'Potassium' ,Sugars,K
Calories,C,0.950559168176336,Determine which of the last 5 columns is most positively correalated with the first column named 'Calories' ,Protein,I
Iron,C,0.91594870582426,Determine which of the last 5 columns is most positively correalated with the first column named 'Iron' ,Carbo,J
Vitamins,C,0.9094184192004277,Determine which of the last 5 columns is most positively correalated with the first column named 'Vitamins' ,Potassium,L
Hard,C,0.952484021784787,Determine which of the last 5 columns is most positively correalated with the first column named 'Hard' ,Chocolate,L
SugarPercent,C,0.9102243079467232,Determine which of the last 5 columns is most positively correalated with the first column named 'SugarPercent' ,Rating,J
Rating,C,0.9228939980431892,Determine which of the last 5 columns is most positively correalated with the first column named 'Rating' ,Chocolate,K
Hard,C,0.9508786303434444,Determine which of the last 5 columns is most positively correalated with the first column named 'Hard' ,Nougat,I
Naver,C,0.9697062062812496,Determine which of the last 5 columns is most positively correalated with the first column named 'Naver' ,Roger Ebert,I
MrQE,C,0.932265725644314,Determine which of the last 5 columns is most positively correalated with the first column named 'MrQE' ,Netflix,L
RottenTomatoes,C,0.9167989111790532,Determine which of the last 5 columns is most positively correalated with the first column named 'RottenTomatoes' ,Netflix,K
IMDB,C,0.9728327679668906,Determine which of the last 5 columns is most positively correalated with the first column named 'IMDB' ,Fandango,J
Dropped,L,60 56 53,"In the 'Dropped' column, give the row names of the animes with the highest 3 values in descending order ",Dragon Ball,Fafnar Weapon-Connect Angel-Dragon Ball,13 18 27
Popularity,I,88 86 83,"In the 'Popularity' column, give the row names of the animes with the highest 3 values in descending order ",Assassian World,Different Life-Connect Angel-Assassian World,5 18 6
On-Hold,J,75 73 71,"In the 'On-Hold' column, give the row names of the animes with the highest 3 values in descending order ",Connect Angel,Dragon Ball-Different Life-Connect Angel,5 10 11
