Header1, Column,Par 1, Prompt , Answer,Answer Column / Row1
On-Hold,J,80,"In the 'On-Hold' column, count how many cells exceed the value of '80' ",7,J
Favorites,I,70,"In the 'Favorites' column, count how many cells exceed the value of '70' ",6,I
On-Hold,G,88,"In the 'On-Hold' column, count how many cells exceed the value of '88' ",5,G
Score,K,43,"In the 'Score' column, count how many cells exceed the value of '43' ",8,K
Potassium,I,57,"In the 'Potassium' column, count how many cells exceed the value of '57' ",8,I
Carbo,H,70,"In the 'Carbo' column, count how many cells exceed the value of '70' ",5,H
Score,J,45,"In the 'Score' column, count how many cells exceed the value of '45' ",6,J
Vitamins,K,60,"In the 'Vitamins' column, count how many cells exceed the value of '60' ",7,K
Rating,K,66,"In the 'Rating' column, count how many cells exceed the value of '66' ",5,K
Caramel,J,38,"In the 'Caramel' column, count how many cells exceed the value of '38' ",8,J
SugarPercent,G,50,"In the 'SugarPercent' column, count how many cells exceed the value of '50' ",7,G
Bar,I,57,"In the 'Bar' column, count how many cells exceed the value of '57' ",6,I
Metacritic,H,70,"In the 'Metacritic' column, count how many cells exceed the value of '70' ",5,H
Netflix,I,76,"In the 'Netflix' column, count how many cells exceed the value of '76' ",8,I
Fandango,J,54,"In the 'Fandango' column, count how many cells exceed the value of '54' ",7,J
Naver,G,57,"In the 'Naver' column, count how many cells exceed the value of '57' ",6,G
Episodes,C,0.9092102829133202,Determine which of the last 5 columns is most positively correalated with the first column named 'Episodes' ,Completed,I
Plan to Watch,C,0.94286333401893,Determine which of the last 5 columns is most positively correalated with the first column named 'Plan to Watch' ,Favorites,L
Completed,C,0.9730627334501696,Determine which of the last 5 columns is most positively correalated with the first column named 'Completed' ,Episodes,K
Score,C,0.9544895140214856,Determine which of the last 5 columns is most positively correalated with the first column named 'Score' ,Dropped,J
Potassium,C,0.9184836043043162,Determine which of the last 5 columns is most positively correalated with the first column named 'Potassium' ,Sugars,K
Calories,C,0.9504827024693988,Determine which of the last 5 columns is most positively correalated with the first column named 'Calories' ,Protein,I
Iron,C,0.91594870582426,Determine which of the last 5 columns is most positively correalated with the first column named 'Iron' ,Carbo,J
Vitamins,C,0.9094184192004277,Determine which of the last 5 columns is most positively correalated with the first column named 'Vitamins' ,Potassium,L
Hard,C,0.952484021784787,Determine which of the last 5 columns is most positively correalated with the first column named 'Hard' ,Chocolate,L
SugarPercent,C,0.9102243079467232,Determine which of the last 5 columns is most positively correalated with the first column named 'SugarPercent' ,Rating,J
Rating,C,0.9228939980431892,Determine which of the last 5 columns is most positively correalated with the first column named 'Rating' ,Chocolate,K
Hard,C,0.9508786303434444,Determine which of the last 5 columns is most positively correalated with the first column named 'Hard' ,Nougat,I
Naver,C,0.9697062062812496,Determine which of the last 5 columns is most positively correalated with the first column named 'Naver' ,Roger Ebert,I
MrQE,C,0.932265725644314,Determine which of the last 5 columns is most positively correalated with the first column named 'MrQE' ,Netflix,L
RottenTomatoes,C,0.9167989111790532,Determine which of the last 5 columns is most positively correalated with the first column named 'RottenTomatoes' ,Netflix,k
IMDB,C,0.9728327679668906,Determine which of the last 5 columns is most positively correalated with the first column named 'IMDB' ,Fandango,J
Completed,L,60 56 53,"In the 'Completed' column, give the row names of the animes with the highest 3 values in descending order ",Trinity Blood,Hungry Heart-Fighting Animal-Trinity Blood,13 18 27
Favorites,I,88 86 83,"In the 'Favorites' column, give the row names of the animes with the highest 3 values in descending order ",Hungry Heart,Cursing Notebook-Fourth Stage-Hungry Heart,5 18 6
Episodes,J,75 73 71,"In the 'Episodes' column, give the row names of the animes with the highest 3 values in descending order ",First Stage,Fighting Animal-Legendary Forks-First Stage,5 10 11
Score,K,74 73 70,"In the 'Score' column, give the row names of the animes with the highest 3 values in descending order ",Queen Kingdom,Helping Alice-Neon Genesis-Queen Kingdom,6 24 22
Carbo,H,88 86 83,"In the 'Carbo' column, give the row names of the cereals with the highest 3 values in descending order ",Grape Flakes,Oatmeal Crisp-Wheat Cream-Grape Flakes,5 19 20
Potassium,I,71 70 68,"In the 'Potassium' column, give the row names of the cereals with the highest 3 values in descending order ",Natural Bran,Corn Favorite-Frosted Flakes-Natural Bran,22 3 7
Score,J,60 56 53,"In the 'Score' column, give the row names of the cereals with the highest 3 values in descending order ",Almond Delight,Count Chocula-Wonderful Chex-Almond Delight,7 23 18
Vitamins,K,75 73 71,"In the 'Vitamins' column, give the row names of the cereals with the highest 3 values in descending order ",Bran Chex,Froot Loops-Count Chocula-Bran Chex,16 10 19
Caramel,H,98 84 80,"In the 'Caramel' column, give the row names of the candys with the highest 3 values in descending order ",Gob Stopper,Lemon Head-Junior Mints-Gob Stopper,30 9 11
Price,K,75 73 71,"In the 'Price' column, give the row names of the candys with the highest 3 values in descending order ",Crunch Time,Now Later-Milk Duds-Crunch Time,31 8 26
Rating,L,75 73 71,"In the 'Rating' column, give the row names of the candys with the highest 3 values in descending order ",Caramel Apple,Milk Duds-Air Heads-Caramel Apple,27 12 28
Almond,J,98 97 95,"In the 'Almond' column, give the row names of the candys with the highest 3 values in descending order ",Berry Chews,Reese Pieces-Cheese Bears-Berry Chews,30 19 16
Naver,I,71 70 68,"In the 'Naver' column, give the row names of the movies with the highest 3 values in descending order ",Red Army,Welcome Home-Saint Laurent-Red Army,21 16 17
Film Comment,K,75 73 71,"In the 'Film Comment' column, give the row names of the movies with the highest 3 values in descending order ",Welcome Home,About Elly-Love Mercy-Welcome Home,5 21 20
PluggedIn,H,98 84 80,"In the 'PluggedIn' column, give the row names of the movies with the highest 3 values in descending order ",South Paw,Tomorrow land-Black Sea-South Paw,10 9 20
Netflix,J,71 70 68,"In the 'Netflix' column, give the row names of the movies with the highest 3 values in descending order ",Red Army,Welcome Home-Saint Laurent-Red Army,18 6 10
Episodes,D,,"In the 'Episodes' column, calculate a rough estimate of the average value",28.89655172413793,D
Members,F,,"In the 'Members' column, calculate a rough estimate of the average value",62.37931034482759,F
Completed,E,,"In the 'Completed' column, calculate a rough estimate of the average value",37.86206896551724,E
Members,G,,"In the 'Members' column, calculate a rough estimate of the average value",47.6551724137931,G
Sugars,F,,"In the 'Sugars' column, calculate a rough estimate of the average value",56.93103448275862,F
Score,E,,"In the 'Score' column, calculate a rough estimate of the average value",42.10344827586207,E
Vitamins,D,,"In the 'Vitamins' column, calculate a rough estimate of the average value",35.62068965517241,D
Potassium,E,,"In the 'Potassium' column, calculate a rough estimate of the average value",52.310344827586206,E
Chocolate,G,,"In the 'Chocolate' column, calculate a rough estimate of the average value",37.86206896551724,G
Nougat,D,,"In the 'Nougat' column, calculate a rough estimate of the average value",35.62068965517241,D
Fruity,F,,"In the 'Fruity' column, calculate a rough estimate of the average value",50.241379310344826,F
SugarPercent,G,,"In the 'SugarPercent' column, calculate a rough estimate of the average value",37.86206896551724,G
Fandango,E,,"In the 'Fandango' column, calculate a rough estimate of the average value",52.310344827586206,E
MrQE,G,,"In the 'MrQE' column, calculate a rough estimate of the average value",37.86206896551724,G
RottenTomatoes,F,,"In the 'RottenTomatoes' column, calculate a rough estimate of the average value",50.241379310344826,F
IMDB,E,,"In the 'IMDB' column, calculate a rough estimate of the average value",52.310344827586206,E
Popularity,G,15,"In the 'Popularity' column, find the anime with a value equal to '15' ",Attacking Titan,16
On-Hold,H,26,"In the 'On-Hold' column, find the anime with a value equal to '26' ",Helping Alice,20
Watching,I,17,"In the 'Watching' column, find the anime with a value equal to '17' ",Beating Music,16
On-Hold,J,12,"In the 'On-Hold' column, find the anime with a value equal to '12' ",Fafnar Weapon,18
Sodium,K,51,"In the 'Sodium' column, find the cereal with a value equal to '51' ",Bran Chex,17
Carbo,H,32,"In the 'Carbo' column, find the cereal with a value equal to '32' ",Double Chex,19
Protein,I,83,"In the 'Protein' column, find the cereal with a value equal to '83' ",Smile Maker,17
Vitamins,K,26,"In the 'Vitamins' column, find the cereal with a value equal to '26' ",Frosted Flakes,20
Pluribus,J,32,"In the 'Pluribus' column, find the candy with a value equal to '32' ",Pixie Sticks,19
Price,K,68,"In the 'Price' column, find the candy with a value equal to '68' ",Hersheys Kisses,17
Rating,L,26,"In the 'Rating' column, find the candy with a value equal to '26' ",Fruit Chews,11
Rating,K,15,"In the 'Rating' column, find the candy with a value equal to '15' ",Quarter World,15
PluggedIn,J,67,"In the 'PluggedIn' column, find the movie with a value equal to '67' ",Running Night,20
Netflix,I,79,"In the 'Netflix' column, find the movie with a value equal to '79' ",End Tour,18
Naver,L,73,"In the 'Naver' column, find the movie with a value equal to '73' ",Love Mercy,19
Hulu,K,31,"In the 'Hulu' column, find the movie with a value equal to '31' ",Ricki Flash,17
