1Header, 1Column,1Par 1,1Prompt ,1Answer,1Answer Column / Row
Score,J,80,"In the 'Score' column, count how many cells exceed the value of '80' ",7,J
Plan to Watch,I,70,"In the 'Plan to Watch' column, count how many cells exceed the value of '70' ",6,I
Popularity,G,88,"In the 'Popularity' column, count how many cells exceed the value of '88' ",5,G
Score,K,43,"In the 'Score' column, count how many cells exceed the value of '43' ",8,K
Carbo,I,57,"In the 'Carbo' column, count how many cells exceed the value of '57' ",8,I
Sodium,H,70,"In the 'Sodium' column, count how many cells exceed the value of '70' ",5,H
Carbo,J,45,"In the 'Carbo' column, count how many cells exceed the value of '45' ",6,J
Sugars,K,60,"In the 'Sugars' column, count how many cells exceed the value of '60' ",7,K
SugarPercent,K,66,"In the 'SugarPercent' column, count how many cells exceed the value of '66' ",5,K
Caramel,J,38,"In the 'Caramel' column, count how many cells exceed the value of '38' ",8,J
SugarPercent,G,50,"In the 'SugarPercent' column, count how many cells exceed the value of '50' ",7,G
Caramel,I,57,"In the 'Caramel' column, count how many cells exceed the value of '57' ",6,I
Metacritic,H,70,"In the 'Metacritic' column, count how many cells exceed the value of '70' ",5,H
Netflix,I,76,"In the 'Netflix' column, count how many cells exceed the value of '76' ",8,I
Fandango,J,54,"In the 'Fandango' column, count how many cells exceed the value of '54' ",7,J
Naver,G,57,"In the 'Naver' column, count how many cells exceed the value of '57' ",6,G
Episodes,C,0.9584557641748676,Determine which of the last 5 columns is most positively correalated with the first column named 'Episodes' ,Completed,I
Plan to Watch,C,0.9790768125482828,Determine which of the last 5 columns is most positively correalated with the first column named 'Plan to Watch' ,Favorites,L
Completed,C,0.9922747576934068,Determine which of the last 5 columns is most positively correalated with the first column named 'Completed' ,Episodes,K
Score,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'Score' ,Dropped,J
Potassium,C,0.9994148327618346,Determine which of the last 5 columns is most positively correalated with the first column named 'Potassium' ,Sugars,K
Calories,C,0.9922747576934068,Determine which of the last 5 columns is most positively correalated with the first column named 'Calories' ,Protein,I
Iron,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'Iron' ,Carbo,J
Vitamins,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'Vitamins' ,Potassium,L
Hard,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'Hard' ,Chocolate,L
SugarPercent,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'SugarPercent' ,Rating,J
Rating,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'Rating' ,Chocolate,K
Hard,C,0.992274757693407,Determine which of the last 5 columns is most positively correalated with the first column named 'Hard' ,Nougat,I
Naver,C,0.9922747576934072,Determine which of the last 5 columns is most positively correalated with the first column named 'Naver' ,Roger Ebert,I
MrQE,C,0.9994148327618346,Determine which of the last 5 columns is most positively correalated with the first column named 'MrQE' ,Netflix,L
RottenTomatoes,C,0.9994148327618346,Determine which of the last 5 columns is most positively correalated with the first column named 'RottenTomatoes' ,Netflix,k
IMDB,C,0.9922747576934068,Determine which of the last 5 columns is most positively correalated with the first column named 'IMDB' ,Fandango,J
Plan to Watch,L,60 56 53,"In the 'Plan to Watch' column, give the row names of the animes with the highest 3 values in descending order ",Different Life-Mobile Phone-Great Teacher,13 18 27
Plan to Watch,I,88 86 83,"In the 'Plan to Watch' column, give the row names of the animes with the highest 3 values in descending order ",Connect Angel-Best Humanity-Assassian World,5 18 6
Ranked,J,75 73 71,"In the 'Ranked' column, give the row names of the animes with the highest 3 values in descending order ",Ultra Generation-Connect Angel-Magical Warfare,5 10 11
Score,K,74 73 70,"In the 'Score' column, give the row names of the animes with the highest 3 values in descending order ",Ultra Generation-Mobile Phone-Ultimate horror,6 24 22
Calories,H,88 86 83,"In the 'Calories' column, give the row names of the cereals with the highest 3 values in descending order ",Lucky Charms-Smile Maker-Wonderful Chex,5 19 20
Potassium,I,71 70 68,"In the 'Potassium' column, give the row names of the cereals with the highest 3 values in descending order ",Froot Loops-Almond Delight-Post Nat,22 3 7
Carbo,J,60 56 53,"In the 'Carbo' column, give the row names of the cereals with the highest 3 values in descending order ",Fruity Pebbles-Colorful Bran-Cap Crunch,7 23 18
Sugars,K,75 73 71,"In the 'Sugars' column, give the row names of the cereals with the highest 3 values in descending order ",Cap Crunch-Fruit Fibre-Colorful Bran,16 10 19
Hard,H,98 84 80,"In the 'Hard' column, give the row names of the candys with the highest 3 values in descending order ",Fun Dips-Crunch Time-Now Later,30 9 11
Almond,K,75 73 71,"In the 'Almond' column, give the row names of the candys with the highest 3 values in descending order ",Fun Dips-Laffy Taffy-Gold Bears,31 8 26
Nougat,L,75 73 71,"In the 'Nougat' column, give the row names of the candys with the highest 3 values in descending order ",Gold Bears-Fun Dips-Root Barrels,27 12 28
Fruity,J,98 97 95,"In the 'Fruity' column, give the row names of the candys with the highest 3 values in descending order ",Air Heads-Junior Mints-Haribo Cola,30 19 16
Naver,I,71 70 68,"In the 'Naver' column, give the row names of the movies with the highest 3 values in descending order ",Welcome Home-Saint Laurent-Red Army,21 16 17
Film Comment,K,75 73 71,"In the 'Film Comment' column, give the row names of the movies with the highest 3 values in descending order ",About Elly-Love Mercy-Welcome Home,5 21 20
PluggedIn,H,98 84 80,"In the 'PluggedIn' column, give the row names of the movies with the highest 3 values in descending order ",Tomorrow land-Black Sea-South Paw,10 9 20
Netflix,J,71 70 68,"In the 'Netflix' column, give the row names of the movies with the highest 3 values in descending order ",Welcome Home-Saint Laurent-Red Army,18 6 10
Completed,D,,"In the 'Completed' column, calculate a rough estimate of the average value",28.89655172413793,D
Ranked,F,,"In the 'Ranked' column, calculate a rough estimate of the average value",62.37931034482759,F
Completed,E,,"In the 'Completed' column, calculate a rough estimate of the average value",37.86206896551724,E
Members,G,,"In the 'Members' column, calculate a rough estimate of the average value",47.6551724137931,G
Vitamins,F,,"In the 'Vitamins' column, calculate a rough estimate of the average value",56.93103448275862,F
Calories,E,,"In the 'Calories' column, calculate a rough estimate of the average value",42.10344827586207,E
Sugars,D,,"In the 'Sugars' column, calculate a rough estimate of the average value",35.62068965517241,D
Calories,E,,"In the 'Calories' column, calculate a rough estimate of the average value",52.310344827586206,E
Nougat,G,,"In the 'Nougat' column, calculate a rough estimate of the average value",37.86206896551724,G
Nougat,D,,"In the 'Nougat' column, calculate a rough estimate of the average value",35.62068965517241,D
Price,F,,"In the 'Price' column, calculate a rough estimate of the average value",50.241379310344826,F
Almond,G,,"In the 'Almond' column, calculate a rough estimate of the average value",37.86206896551724,G
Fandango,E,,"In the 'Fandango' column, calculate a rough estimate of the average value",52.310344827586206,E
MrQE,G,,"In the 'MrQE' column, calculate a rough estimate of the average value",37.86206896551724,G
RottenTomatoes,F,,"In the 'RottenTomatoes' column, calculate a rough estimate of the average value",50.241379310344826,F
IMDB,E,,"In the 'IMDB' column, calculate a rough estimate of the average value",52.310344827586206,E
Watching,G,15,"In the 'Watching' column, find the  with a value equal to '15' ",Helping Alice,16
On-Hold,H,26,"In the 'On-Hold' column, find the  with a value equal to '26' ",Attacking Titan,20
On-Hold,I,17,"In the 'On-Hold' column, find the  with a value equal to '17' ",Ultimate horror,16
Popularity,J,12,"In the 'Popularity' column, find the  with a value equal to '12' ",Helping Alice,18
Protein,K,51,"In the 'Protein' column, find the  with a value equal to '51' ",Mini Wheats,17
Sodium,H,32,"In the 'Sodium' column, find the  with a value equal to '32' ",Colorful Bran,19
Calories,I,83,"In the 'Calories' column, find the  with a value equal to '83' ",Corn Favorite,17
Sugars,K,26,"In the 'Sugars' column, find the  with a value equal to '26' ",Double Chex,20
Pluribus,J,32,"In the 'Pluribus' column, find the  with a value equal to '32' ",Root Barrels,19
Almond,K,52,"In the 'Almond' column, find the  with a value equal to '52' ",Cheese Bears,16
Nougat,L,52,"In the 'Nougat' column, find the  with a value equal to '52' ",Milk Duds,15
Nougat,K,59,"In the 'Nougat' column, find the  with a value equal to '59' ",Haribo Cola,16
PluggedIn,J,67,"In the 'PluggedIn' column, find the  with a value equal to '67' ",Running Night,20
Netflix,I,79,"In the 'Netflix' column, find the  with a value equal to '79' ",End Tour,18
Naver,L,73,"In the 'Naver' column, find the  with a value equal to '73' ",Love Mercy,19
Hulu,K,31,"In the 'Hulu' column, find the  with a value equal to '31' ",Ricki Flash,17
Score,J,80,"In the 'Score' column, count how many cells exceed the value of '80' ",7,J
Plan to Watch,I,70,"In the 'Plan to Watch' column, count how many cells exceed the value of '70' ",6,I
Popularity,G,88,"In the 'Popularity' column, count how many cells exceed the value of '88' ",5,G
Score,K,43,"In the 'Score' column, count how many cells exceed the value of '43' ",8,K
Carbo,I,57,"In the 'Carbo' column, count how many cells exceed the value of '57' ",8,I
Sodium,H,70,"In the 'Sodium' column, count how many cells exceed the value of '70' ",5,H
Carbo,J,45,"In the 'Carbo' column, count how many cells exceed the value of '45' ",6,J
Sugars,K,60,"In the 'Sugars' column, count how many cells exceed the value of '60' ",7,K
SugarPercent,K,66,"In the 'SugarPercent' column, count how many cells exceed the value of '66' ",5,K
Caramel,J,38,"In the 'Caramel' column, count how many cells exceed the value of '38' ",8,J
SugarPercent,G,50,"In the 'SugarPercent' column, count how many cells exceed the value of '50' ",7,G
Caramel,I,57,"In the 'Caramel' column, count how many cells exceed the value of '57' ",6,I
Metacritic,H,70,"In the 'Metacritic' column, count how many cells exceed the value of '70' ",5,H
Netflix,I,76,"In the 'Netflix' column, count how many cells exceed the value of '76' ",8,I
Fandango,J,54,"In the 'Fandango' column, count how many cells exceed the value of '54' ",7,J
Naver,G,57,"In the 'Naver' column, count how many cells exceed the value of '57' ",6,G
Episodes,C,0.9584557641748676,Determine which of the last 5 columns is most positively correalated with the first column named 'Episodes' ,Completed,I
Plan to Watch,C,0.9790768125482828,Determine which of the last 5 columns is most positively correalated with the first column named 'Plan to Watch' ,Favorites,L
Completed,C,0.9922747576934068,Determine which of the last 5 columns is most positively correalated with the first column named 'Completed' ,Episodes,K
Score,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'Score' ,Dropped,J
Potassium,C,0.9994148327618346,Determine which of the last 5 columns is most positively correalated with the first column named 'Potassium' ,Sugars,K
Calories,C,0.9922747576934068,Determine which of the last 5 columns is most positively correalated with the first column named 'Calories' ,Protein,I
Iron,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'Iron' ,Carbo,J
Vitamins,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'Vitamins' ,Potassium,L
Hard,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'Hard' ,Chocolate,L
SugarPercent,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'SugarPercent' ,Rating,J
Rating,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'Rating' ,Chocolate,K
Hard,C,0.992274757693407,Determine which of the last 5 columns is most positively correalated with the first column named 'Hard' ,Nougat,I
Naver,C,0.9922747576934072,Determine which of the last 5 columns is most positively correalated with the first column named 'Naver' ,Roger Ebert,I
MrQE,C,0.9994148327618346,Determine which of the last 5 columns is most positively correalated with the first column named 'MrQE' ,Netflix,L
RottenTomatoes,C,0.9994148327618346,Determine which of the last 5 columns is most positively correalated with the first column named 'RottenTomatoes' ,Netflix,k
IMDB,C,0.9922747576934068,Determine which of the last 5 columns is most positively correalated with the first column named 'IMDB' ,Fandango,J
Plan to Watch,L,60 56 53,"In the 'Plan to Watch' column, give the row names of the animes with the highest 3 values in descending order ",Different Life-Mobile Phone-Great Teacher,13 18 27
Plan to Watch,I,88 86 83,"In the 'Plan to Watch' column, give the row names of the animes with the highest 3 values in descending order ",Connect Angel-Best Humanity-Assassian World,5 18 6
Ranked,J,75 73 71,"In the 'Ranked' column, give the row names of the animes with the highest 3 values in descending order ",Ultra Generation-Connect Angel-Magical Warfare,5 10 11
Score,K,74 73 70,"In the 'Score' column, give the row names of the animes with the highest 3 values in descending order ",Ultra Generation-Mobile Phone-Ultimate horror,6 24 22
Calories,H,88 86 83,"In the 'Calories' column, give the row names of the cereals with the highest 3 values in descending order ",Lucky Charms-Smile Maker-Wonderful Chex,5 19 20
Potassium,I,71 70 68,"In the 'Potassium' column, give the row names of the cereals with the highest 3 values in descending order ",Froot Loops-Almond Delight-Post Nat,22 3 7
Carbo,J,60 56 53,"In the 'Carbo' column, give the row names of the cereals with the highest 3 values in descending order ",Fruity Pebbles-Colorful Bran-Cap Crunch,7 23 18
Sugars,K,75 73 71,"In the 'Sugars' column, give the row names of the cereals with the highest 3 values in descending order ",Cap Crunch-Fruit Fibre-Colorful Bran,16 10 19
Hard,H,98 84 80,"In the 'Hard' column, give the row names of the candys with the highest 3 values in descending order ",Fun Dips-Crunch Time-Now Later,30 9 11
Almond,K,75 73 71,"In the 'Almond' column, give the row names of the candys with the highest 3 values in descending order ",Fun Dips-Laffy Taffy-Gold Bears,31 8 26
Nougat,L,75 73 71,"In the 'Nougat' column, give the row names of the candys with the highest 3 values in descending order ",Gold Bears-Fun Dips-Root Barrels,27 12 28
Fruity,J,98 97 95,"In the 'Fruity' column, give the row names of the candys with the highest 3 values in descending order ",Air Heads-Junior Mints-Haribo Cola,30 19 16
Naver,I,71 70 68,"In the 'Naver' column, give the row names of the movies with the highest 3 values in descending order ",Welcome Home-Saint Laurent-Red Army,21 16 17
Film Comment,K,75 73 71,"In the 'Film Comment' column, give the row names of the movies with the highest 3 values in descending order ",About Elly-Love Mercy-Welcome Home,5 21 20
PluggedIn,H,98 84 80,"In the 'PluggedIn' column, give the row names of the movies with the highest 3 values in descending order ",Tomorrow land-Black Sea-South Paw,10 9 20
Netflix,J,71 70 68,"In the 'Netflix' column, give the row names of the movies with the highest 3 values in descending order ",Welcome Home-Saint Laurent-Red Army,18 6 10
Completed,D,,"In the 'Completed' column, calculate a rough estimate of the average value",28.89655172413793,D
Ranked,F,,"In the 'Ranked' column, calculate a rough estimate of the average value",62.37931034482759,F
Completed,E,,"In the 'Completed' column, calculate a rough estimate of the average value",37.86206896551724,E
Members,G,,"In the 'Members' column, calculate a rough estimate of the average value",47.6551724137931,G
Vitamins,F,,"In the 'Vitamins' column, calculate a rough estimate of the average value",56.93103448275862,F
Calories,E,,"In the 'Calories' column, calculate a rough estimate of the average value",42.10344827586207,E
Sugars,D,,"In the 'Sugars' column, calculate a rough estimate of the average value",35.62068965517241,D
Calories,E,,"In the 'Calories' column, calculate a rough estimate of the average value",52.310344827586206,E
Nougat,G,,"In the 'Nougat' column, calculate a rough estimate of the average value",37.86206896551724,G
Nougat,D,,"In the 'Nougat' column, calculate a rough estimate of the average value",35.62068965517241,D
Price,F,,"In the 'Price' column, calculate a rough estimate of the average value",50.241379310344826,F
Almond,G,,"In the 'Almond' column, calculate a rough estimate of the average value",37.86206896551724,G
Fandango,E,,"In the 'Fandango' column, calculate a rough estimate of the average value",52.310344827586206,E
MrQE,G,,"In the 'MrQE' column, calculate a rough estimate of the average value",37.86206896551724,G
RottenTomatoes,F,,"In the 'RottenTomatoes' column, calculate a rough estimate of the average value",50.241379310344826,F
IMDB,E,,"In the 'IMDB' column, calculate a rough estimate of the average value",52.310344827586206,E
Watching,G,15,"In the 'Watching' column, find the  with a value equal to '15' ",Helping Alice,16
On-Hold,H,26,"In the 'On-Hold' column, find the  with a value equal to '26' ",Attacking Titan,20
On-Hold,I,17,"In the 'On-Hold' column, find the  with a value equal to '17' ",Ultimate horror,16
Popularity,J,12,"In the 'Popularity' column, find the  with a value equal to '12' ",Helping Alice,18
Protein,K,51,"In the 'Protein' column, find the  with a value equal to '51' ",Mini Wheats,17
Sodium,H,32,"In the 'Sodium' column, find the  with a value equal to '32' ",Colorful Bran,19
Calories,I,83,"In the 'Calories' column, find the  with a value equal to '83' ",Corn Favorite,17
Sugars,K,26,"In the 'Sugars' column, find the  with a value equal to '26' ",Double Chex,20
Pluribus,J,32,"In the 'Pluribus' column, find the  with a value equal to '32' ",Root Barrels,19
Almond,K,52,"In the 'Almond' column, find the  with a value equal to '52' ",Cheese Bears,16
Nougat,L,52,"In the 'Nougat' column, find the  with a value equal to '52' ",Milk Duds,15
Nougat,K,59,"In the 'Nougat' column, find the  with a value equal to '59' ",Haribo Cola,16
