Header1, Column,Par 1, Prompt , Answer,Answer Column / Row1
Completed,J,80,"In the 'Completed' column, count how many cells exceed the value of '80' ",7,J
Members,I,70,"In the 'Members' column, count how many cells exceed the value of '70' ",6,I
Ranked,G,88,"In the 'Ranked' column, count how many cells exceed the value of '88' ",5,G
Score,K,43,"In the 'Score' column, count how many cells exceed the value of '43' ",8,K
Sodium,I,57,"In the 'Sodium' column, count how many cells exceed the value of '57' ",8,I
Carbo,H,70,"In the 'Carbo' column, count how many cells exceed the value of '70' ",5,H
Protein,J,45,"In the 'Protein' column, count how many cells exceed the value of '45' ",6,J
Fat,K,60,"In the 'Fat' column, count how many cells exceed the value of '60' ",7,K
SugarPercent,K,66,"In the 'SugarPercent' column, count how many cells exceed the value of '66' ",5,K
Caramel,J,38,"In the 'Caramel' column, count how many cells exceed the value of '38' ",8,J
SugarPercent,G,50,"In the 'SugarPercent' column, count how many cells exceed the value of '50' ",7,G
Caramel,I,57,"In the 'Caramel' column, count how many cells exceed the value of '57' ",6,I
Hulu,H,70,"In the 'Hulu' column, count how many cells exceed the value of '70' ",5,H
MrQE,I,76,"In the 'MrQE' column, count how many cells exceed the value of '76' ",8,I
Netflix,J,54,"In the 'Netflix' column, count how many cells exceed the value of '54' ",7,J
Hulu,G,57,"In the 'Hulu' column, count how many cells exceed the value of '57' ",6,G
Episodes,C,0.9092102829133202,Determine which of the last 5 columns is most positively correalated with the first column named 'Episodes' ,Completed,I
Plan to Watch,C,0.94286333401893,Determine which of the last 5 columns is most positively correalated with the first column named 'Plan to Watch' ,Favorites,L
Completed,C,0.9730627334501696,Determine which of the last 5 columns is most positively correalated with the first column named 'Completed' ,Episodes,K
Score,C,0.9544895140214856,Determine which of the last 5 columns is most positively correalated with the first column named 'Score' ,Dropped,J
Potassium,C,0.9184836043043162,Determine which of the last 5 columns is most positively correalated with the first column named 'Potassium' ,Sugars,K
Calories,C,0.9597267857054208,Determine which of the last 5 columns is most positively correalated with the first column named 'Calories' ,Protein,I
Iron,C,0.91594870582426,Determine which of the last 5 columns is most positively correalated with the first column named 'Iron' ,Carbo,J
Vitamins,C,0.9094184192004277,Determine which of the last 5 columns is most positively correalated with the first column named 'Vitamins' ,Potassium,L
Hard,C,0.952484021784787,Determine which of the last 5 columns is most positively correalated with the first column named 'Hard' ,Chocolate,L
SugarPercent,C,0.9102243079467232,Determine which of the last 5 columns is most positively correalated with the first column named 'SugarPercent' ,Rating,J
Rating,C,0.9228939980431892,Determine which of the last 5 columns is most positively correalated with the first column named 'Rating' ,Chocolate,K
Hard,C,0.9508786303434444,Determine which of the last 5 columns is most positively correalated with the first column named 'Hard' ,Nougat,I
Naver,C,0.9697062062812496,Determine which of the last 5 columns is most positively correalated with the first column named 'Naver' ,Roger Ebert,I
MrQE,C,0.932265725644314,Determine which of the last 5 columns is most positively correalated with the first column named 'MrQE' ,Netflix,L
RottenTomatoes,C,0.9167989111790532,Determine which of the last 5 columns is most positively correalated with the first column named 'RottenTomatoes' ,Netflix,K
IMDB,C,0.9728327679668906,Determine which of the last 5 columns is most positively correalated with the first column named 'IMDB' ,Fandango,J
Episodes,L,60 56 53,"In the 'Episodes' column, give the row names of the animes with the highest 3 values in descending order ",Queen Kingdom,Dragon Ball-Magical Warfare-Queen Kingdom,13 18 27
Members,I,88 86 83,"In the 'Members' column, give the row names of the animes with the highest 3 values in descending order ",Hungry Heart,Connect Angel-Beating Music-Hungry Heart,5 18 6
Favorites,J,75 73 71,"In the 'Favorites' column, give the row names of the animes with the highest 3 values in descending order ",Queen Kingdom,King Ranking-Ultimate horror-Queen Kingdom,5 10 11
Score,K,74 73 70,"In the 'Score' column, give the row names of the animes with the highest 3 values in descending order ",Ultimate horror,Ultra Generation-Mobile Phone-Ultimate horror,6 24 22
Calories,H,88 86 83,"In the 'Calories' column, give the row names of the cereals with the highest 3 values in descending order ",Fruity Pebbles,Natural Bran-Almond Raisin-Fruity Pebbles,5 19 20
Potassium,I,71 70 68,"In the 'Potassium' column, give the row names of the cereals with the highest 3 values in descending order ",Wheat Cream,Colorful Bran-Apple Jacks-Wheat Cream,22 3 7
Protein,J,60 56 53,"In the 'Protein' column, give the row names of the cereals with the highest 3 values in descending order ",Wonderful Chex,Natural Bran-Golden Crisp-Wonderful Chex,7 23 18
Fat,K,75 73 71,"In the 'Fat' column, give the row names of the cereals with the highest 3 values in descending order ",Golden Crisp,Grape Flakes-Count Chocula-Golden Crisp,16 10 19
Hard,H,98 84 80,"In the 'Hard' column, give the row names of the candys with the highest 3 values in descending order ",Now Later,Fun Dips-Crunch Time-Now Later,30 9 11
Almond,K,75 73 71,"In the 'Almond' column, give the row names of the candys with the highest 3 values in descending order ",Gold Bears,Fun Dips-Laffy Taffy-Gold Bears,31 8 26
Nougat,L,75 73 71,"In the 'Nougat' column, give the row names of the candys with the highest 3 values in descending order ",Root Barrels,Gold Bears-Fun Dips-Root Barrels,27 12 28
Fruity,J,98 97 95,"In the 'Fruity' column, give the row names of the candys with the highest 3 values in descending order ",Haribo Cola,Air Heads-Junior Mints-Haribo Cola,30 19 16
PluggedIn,I,71 70 68,"In the 'PluggedIn' column, give the row names of the movies with the highest 3 values in descending order ",Divergent Series,About Elly-Black White-Divergent Series,21 16 17
Metacritic,K,75 73 71,"In the 'Metacritic' column, give the row names of the movies with the highest 3 values in descending order ",Mapping Stars,Irrational Man -Teenage Girl -Mapping Stars,5 21 20
Fandango,H,98 84 80,"In the 'Fandango' column, give the row names of the movies with the highest 3 values in descending order ",Next Door,Teenage Girl -Irrational Man -Next Door,10 9 20
Netflix,J,71 70 68,"In the 'Netflix' column, give the row names of the movies with the highest 3 values in descending order ",Irrational Man ,Welcome Home-About Elly-Irrational Man ,18 6 10
Plan to Watch,D,,"In the 'Plan to Watch' column, calculate a rough estimate of the average value",28.89655172413793,D
Popularity,F,,"In the 'Popularity' column, calculate a rough estimate of the average value",62.37931034482759,F
Watching,E,,"In the 'Watching' column, calculate a rough estimate of the average value",37.86206896551724,E
Members,G,,"In the 'Members' column, calculate a rough estimate of the average value",47.6551724137931,G
Vitamins,F,,"In the 'Vitamins' column, calculate a rough estimate of the average value",56.93103448275862,F
Score,E,,"In the 'Score' column, calculate a rough estimate of the average value",42.10344827586207,E
Fat,D,,"In the 'Fat' column, calculate a rough estimate of the average value",35.62068965517241,D
Calories,E,,"In the 'Calories' column, calculate a rough estimate of the average value",52.310344827586206,E
Nougat,G,,"In the 'Nougat' column, calculate a rough estimate of the average value",37.86206896551724,G
Nougat,D,,"In the 'Nougat' column, calculate a rough estimate of the average value",35.62068965517241,D
Price,F,,"In the 'Price' column, calculate a rough estimate of the average value",50.241379310344826,F
Almond,G,,"In the 'Almond' column, calculate a rough estimate of the average value",37.86206896551724,G
Fandango,E,,"In the 'Fandango' column, calculate a rough estimate of the average value",52.310344827586206,E
Roger Ebert,G,,"In the 'Roger Ebert' column, calculate a rough estimate of the average value",37.86206896551724,G
RottenTomatoes,F,,"In the 'RottenTomatoes' column, calculate a rough estimate of the average value",50.241379310344826,F
IMDB,E,,"In the 'IMDB' column, calculate a rough estimate of the average value",52.310344827586206,E
Ranked,G,15,"In the 'Ranked' column, find the anime with a value equal to '15' ",Best Humanity,16
Watching,H,26,"In the 'Watching' column, find the anime with a value equal to '26' ",Queen Kingdom,20
Plan to Watch,I,17,"In the 'Plan to Watch' column, find the anime with a value equal to '17' ",Great Teacher,16
Popularity,J,12,"In the 'Popularity' column, find the anime with a value equal to '12' ",Helping Alice,18
Iron,K,51,"In the 'Iron' column, find the cereal with a value equal to '51' ",Corn Favorite,17
Carbo,H,32,"In the 'Carbo' column, find the cereal with a value equal to '32' ",Fruity Pebbles,19
Potassium,I,83,"In the 'Potassium' column, find the cereal with a value equal to '83' ",Corn Favorite,17
Fat,K,26,"In the 'Fat' column, find the cereal with a value equal to '26' ",Wonderful Chex,20
Pluribus,J,32,"In the 'Pluribus' column, find the candy with a value equal to '32' ",Root Barrels,19
Almond,K,52,"In the 'Almond' column, find the candy with a value equal to '52' ",Cheese Bears,16
Nougat,L,52,"In the 'Nougat' column, find the candy with a value equal to '52' ",Milk Duds,15
Nougat,K,59,"In the 'Nougat' column, find the candy with a value equal to '59' ",Haribo Cola,16
RottenTomatoes,J,67,"In the 'RottenTomatoes' column, find the movie with a value equal to '67' ",Welcome Home,20
MrQE,I,79,"In the 'MrQE' column, find the movie with a value equal to '79' ",Tomorrow land,18
Film Comment,L,73,"In the 'Film Comment' column, find the movie with a value equal to '73' ",Adaline Age,19
PluggedIn,K,31,"In the 'PluggedIn' column, find the movie with a value equal to '31' ",Still Alice,17
