1Header, 1Column,1Par 1,1Prompt ,1Answer,1Answer Column / Row
Completed,J,80,"In the 'Completed' column, count how many cells exceed the value of '80' ",7,J
Members,I,70,"In the 'Members' column, count how many cells exceed the value of '70' ",6,I
Ranked,G,88,"In the 'Ranked' column, count how many cells exceed the value of '88' ",5,G
Score,K,43,"In the 'Score' column, count how many cells exceed the value of '43' ",8,K
Sodium,I,57,"In the 'Sodium' column, count how many cells exceed the value of '57' ",8,I
Carbo,H,70,"In the 'Carbo' column, count how many cells exceed the value of '70' ",5,H
Protein,J,45,"In the 'Protein' column, count how many cells exceed the value of '45' ",6,J
Fat,K,60,"In the 'Fat' column, count how many cells exceed the value of '60' ",7,K
Fruity,K,66,"In the 'Fruity' column, count how many cells exceed the value of '66' ",5,K
Rating,J,38,"In the 'Rating' column, count how many cells exceed the value of '38' ",8,J
Pluribus,G,50,"In the 'Pluribus' column, count how many cells exceed the value of '50' ",7,G
Nougat,I,57,"In the 'Nougat' column, count how many cells exceed the value of '57' ",6,I
Fandango,H,70,"In the 'Fandango' column, count how many cells exceed the value of '70' ",5,H
PluggedIn,I,76,"In the 'PluggedIn' column, count how many cells exceed the value of '76' ",8,I
Hulu,J,54,"In the 'Hulu' column, count how many cells exceed the value of '54' ",7,J
Metacritic,G,57,"In the 'Metacritic' column, count how many cells exceed the value of '57' ",6,G
Episodes,C,0.9584557641748676,Determine which of the last 5 columns is most positively correalated with the first column named 'Episodes' ,Completed,I
Plan to Watch,C,0.9790768125482828,Determine which of the last 5 columns is most positively correalated with the first column named 'Plan to Watch' ,Favorites,L
Completed,C,0.9922747576934068,Determine which of the last 5 columns is most positively correalated with the first column named 'Completed' ,Episodes,K
Score,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'Score' ,Dropped,J
Potassium,C,0.9994148327618346,Determine which of the last 5 columns is most positively correalated with the first column named 'Potassium' ,Sugars,K
Calories,C,0.9922747576934068,Determine which of the last 5 columns is most positively correalated with the first column named 'Calories' ,Protein,I
Iron,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'Iron' ,Carbo,J
Vitamins,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'Vitamins' ,Potassium,L
Hard,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'Hard' ,Chocolate,L
SugarPercent,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'SugarPercent' ,Rating,J
Rating,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'Rating' ,Chocolate,K
Hard,C,0.992274757693407,Determine which of the last 5 columns is most positively correalated with the first column named 'Hard' ,Nougat,I
Naver,C,0.9922747576934072,Determine which of the last 5 columns is most positively correalated with the first column named 'Naver' ,Roger Ebert,I
MrQE,C,0.9994148327618346,Determine which of the last 5 columns is most positively correalated with the first column named 'MrQE' ,Netflix,L
RottenTomatoes,C,0.9994148327618346,Determine which of the last 5 columns is most positively correalated with the first column named 'RottenTomatoes' ,Netflix,K
IMDB,C,0.9922747576934068,Determine which of the last 5 columns is most positively correalated with the first column named 'IMDB' ,Fandango,J
Episodes,L,60 56 53,"In the 'Episodes' column, give the row names of the animes with the highest 3 values in descending order ",Dragon Ball-Magical Warfare-Queen Kingdom,13 18 27
Members,I,88 86 83,"In the 'Members' column, give the row names of the animes with the highest 3 values in descending order ",Connect Angel-Beating Music-Hungry Heart,5 18 6
Favorites,J,75 73 71,"In the 'Favorites' column, give the row names of the animes with the highest 3 values in descending order ",King Ranking-Ultimate horror-Queen Kingdom,5 10 11
Score,K,74 73 70,"In the 'Score' column, give the row names of the animes with the highest 3 values in descending order ",Ultra Generation-Mobile Phone-Ultimate horror,6 24 22
Calories,H,88 86 83,"In the 'Calories' column, give the row names of the cereals with the highest 3 values in descending order ",Natural Bran-Almond Raisin-Fruity Pebbles,5 19 20
Potassium,I,71 70 68,"In the 'Potassium' column, give the row names of the cereals with the highest 3 values in descending order ",Colorful Bran-Apple Jacks-Wheat Cream,22 3 7
Protein,J,60 56 53,"In the 'Protein' column, give the row names of the cereals with the highest 3 values in descending order ",Natural Bran-Golden Crisp-Wonderful Chex,7 23 18
Fat,K,75 73 71,"In the 'Fat' column, give the row names of the cereals with the highest 3 values in descending order ",Grape Flakes-Count Chocula-Golden Crisp,16 10 19
SugarPercent,H,98 84 80,"In the 'SugarPercent' column, give the row names of the candys with the highest 3 values in descending order ",Gold Bears-Milk Duds-Berry Chews,30 9 11
Chocolate,K,75 73 71,"In the 'Chocolate' column, give the row names of the candys with the highest 3 values in descending order ",Milk Duds-Fruit Chews-Now Later,31 8 26
Almond,L,75 73 71,"In the 'Almond' column, give the row names of the candys with the highest 3 values in descending order ",Pop Rocks-Pixie Sticks-Junior Mints,27 12 28
Pluribus,J,98 97 95,"In the 'Pluribus' column, give the row names of the candys with the highest 3 values in descending order ",Milk Duds-Boston Beans-Hersheys Kisses,30 19 16
Roger Ebert,I,71 70 68,"In the 'Roger Ebert' column, give the row names of the movies with the highest 3 values in descending order ",End Tour-Black White-My Dreams,21 16 17
Fandango,K,75 73 71,"In the 'Fandango' column, give the row names of the movies with the highest 3 values in descending order ",Black Sea-Water Diviner-Hunting Ground,5 21 20
RottenTomatoes,H,98 84 80,"In the 'RottenTomatoes' column, give the row names of the movies with the highest 3 values in descending order ",Crazy Adventure-Fantastic Four-Black Sea,10 9 20
Naver,J,71 70 68,"In the 'Naver' column, give the row names of the movies with the highest 3 values in descending order ",Wild Tales-Teenage Girl -My Dreams,18 6 10
Plan to Watch,D,,"In the 'Plan to Watch' column, calculate a rough estimate of the average value",28.89655172413793,D
Popularity,F,,"In the 'Popularity' column, calculate a rough estimate of the average value",62.37931034482759,F
Watching,E,,"In the 'Watching' column, calculate a rough estimate of the average value",37.86206896551724,E
Members,G,,"In the 'Members' column, calculate a rough estimate of the average value",47.6551724137931,G
Vitamins,F,,"In the 'Vitamins' column, calculate a rough estimate of the average value",56.93103448275862,F
Score,E,,"In the 'Score' column, calculate a rough estimate of the average value",42.10344827586207,E
Fat,D,,"In the 'Fat' column, calculate a rough estimate of the average value",35.62068965517241,D
Calories,E,,"In the 'Calories' column, calculate a rough estimate of the average value",52.310344827586206,E
Caramel,G,,"In the 'Caramel' column, calculate a rough estimate of the average value",37.86206896551724,G
Almond,D,,"In the 'Almond' column, calculate a rough estimate of the average value",35.62068965517241,D
Caramel,F,,"In the 'Caramel' column, calculate a rough estimate of the average value",50.241379310344826,F
Fruity,G,,"In the 'Fruity' column, calculate a rough estimate of the average value",37.86206896551724,G
MrQE,E,,"In the 'MrQE' column, calculate a rough estimate of the average value",52.310344827586206,E
IMDB,G,,"In the 'IMDB' column, calculate a rough estimate of the average value",37.86206896551724,G
Netflix,F,,"In the 'Netflix' column, calculate a rough estimate of the average value",50.241379310344826,F
Roger Ebert,E,,"In the 'Roger Ebert' column, calculate a rough estimate of the average value",52.310344827586206,E
Ranked,G,15,"In the 'Ranked' column, find the  with a value equal to '15' ",Best Humanity,16
Watching,H,26,"In the 'Watching' column, find the  with a value equal to '26' ",Queen Kingdom,20
Plan to Watch,I,17,"In the 'Plan to Watch' column, find the  with a value equal to '17' ",Great Teacher,16
Popularity,J,12,"In the 'Popularity' column, find the  with a value equal to '12' ",Helping Alice,18
Iron,K,51,"In the 'Iron' column, find the  with a value equal to '51' ",Corn Favorite,17
Carbo,H,32,"In the 'Carbo' column, find the  with a value equal to '32' ",Fruity Pebbles,19
Potassium,I,83,"In the 'Potassium' column, find the  with a value equal to '83' ",Corn Favorite,17
Fat,K,26,"In the 'Fat' column, find the  with a value equal to '26' ",Wonderful Chex,20
Bar,J,32,"In the 'Bar' column, find the  with a value equal to '32' ",Fun Dips,19
Chocolate,K,68,"In the 'Chocolate' column, find the  with a value equal to '68' ",Root Barrels,17
Almond,L,26,"In the 'Almond' column, find the  with a value equal to '26' ",Reese Pieces,11
Caramel,K,15,"In the 'Caramel' column, find the  with a value equal to '15' ",Fruit Chews,15
Film Comment,J,67,"In the 'Film Comment' column, find the  with a value equal to '67' ",Black Sea,20
PluggedIn,I,79,"In the 'PluggedIn' column, find the  with a value equal to '79' ",Hot Pursuit,18
Naver,L,73,"In the 'Naver' column, find the  with a value equal to '73' ",South Paw,19
Film Comment,K,31,"In the 'Film Comment' column, find the  with a value equal to '31' ",Fantastic Four,17
