task id,Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Task
1,DS1_anime_bar1.png,49,1,anime,bar,1,Filter
1,DS2_anime_bar2.png,50,2,anime,bar,2,Filter
1,DS3_anime_bar3.png,51,3,anime,bar,3,Filter
1,DS4_anime_bar4.png,52,4,anime,bar,4,Filter
1,DS5_cereal_plain1.png,37,5,cereal,plain,1,Filter
1,DS6_cereal_plain2.png,38,6,cereal,plain,2,Filter
1,DS7_cereal_plain3.png,39,7,cereal,plain,3,Filter
1,DS8_cereal_plain4.png,40,8,cereal,plain,4,Filter
1,DS9_candy_color1.png,9,9,candy,color,1,Filter
1,DS10_candy_color2.png,10,10,candy,color,2,Filter
1,DS11_candy_color3.png,11,11,candy,color,3,Filter
1,DS12_candy_color4.png,12,12,candy,color,4,Filter
1,DS13_movie_zebra1.png,29,13,movie,zebra,1,Filter
1,DS14_movie_zebra2.png,30,14,movie,zebra,2,Filter
1,DS15_movie_zebra3.png,31,15,movie,zebra,3,Filter
1,DS16_movie_zebra4.png,32,16,movie,zebra,4,Filter
2,DS1_anime_bar1.png,49,1,anime,bar,1,Correlation
2,DS2_anime_bar2.png,50,2,anime,bar,2,Correlation
2,DS3_anime_bar3.png,51,3,anime,bar,3,Correlation
2,DS4_anime_bar4.png,52,4,anime,bar,4,Correlation
2,DS5_cereal_plain1.png,37,5,cereal,plain,1,Correlation
2,DS6_cereal_plain2.png,38,6,cereal,plain,2,Correlation
2,DS7_cereal_plain3.png,39,7,cereal,plain,3,Correlation
2,DS8_cereal_plain4.png,40,8,cereal,plain,4,Correlation
2,DS9_candy_color1.png,9,9,candy,color,1,Correlation
2,DS10_candy_color2.png,10,10,candy,color,2,Correlation
2,DS11_candy_color3.png,11,11,candy,color,3,Correlation
2,DS12_candy_color4.png,12,12,candy,color,4,Correlation
2,DS13_movie_zebra1.png,29,13,movie,zebra,1,Correlation
2,DS14_movie_zebra2.png,30,14,movie,zebra,2,Correlation
2,DS15_movie_zebra3.png,31,15,movie,zebra,3,Correlation
2,DS16_movie_zebra4.png,32,16,movie,zebra,4,Correlation
3,DS1_anime_bar1.png,49,1,anime,bar,1,Sort
3,DS2_anime_bar2.png,50,2,anime,bar,2,Sort
3,DS3_anime_bar3.png,51,3,anime,bar,3,Sort
3,DS4_anime_bar4.png,52,4,anime,bar,4,Sort
3,DS5_cereal_plain1.png,37,5,cereal,plain,1,Sort
3,DS6_cereal_plain2.png,38,6,cereal,plain,2,Sort
3,DS7_cereal_plain3.png,39,7,cereal,plain,3,Sort
3,DS8_cereal_plain4.png,40,8,cereal,plain,4,Sort
3,DS9_candy_color1.png,9,9,candy,color,1,Sort
3,DS10_candy_color2.png,10,10,candy,color,2,Sort
3,DS11_candy_color3.png,11,11,candy,color,3,Sort
3,DS12_candy_color4.png,12,12,candy,color,4,Sort
3,DS13_movie_zebra1.png,29,13,movie,zebra,1,Sort
3,DS14_movie_zebra2.png,30,14,movie,zebra,2,Sort
3,DS15_movie_zebra3.png,31,15,movie,zebra,3,Sort
3,DS16_movie_zebra4.png,32,16,movie,zebra,4,Sort
4,DS1_anime_bar1.png,49,1,anime,bar,1,Estimate Average
4,DS2_anime_bar2.png,50,2,anime,bar,2,Estimate Average
4,DS3_anime_bar3.png,Carbo,H,88 86 83,"In the 'Carbo' column, give the row names of the cereals with the highest 3 values in descending order ",Oatmeal Crisp-Wheat Cream-Grape Flakes,5 19 20
4,DS4_anime_bar4.png,Potassium,I,71 70 68,"In the 'Potassium' column, give the row names of the cereals with the highest 3 values in descending order ",Corn Favorite-Frosted Flakes-Natural Bran,22 3 7
4,DS5_cereal_plain1.png,Score,J,60 56 53,"In the 'Score' column, give the row names of the cereals with the highest 3 values in descending order ",Count Chocula-Wonderful Chex-Almond Delight,7 23 18
4,DS6_cereal_plain2.png,Vitamins,K,75 73 71,"In the 'Vitamins' column, give the row names of the cereals with the highest 3 values in descending order ",Froot Loops-Count Chocula-Bran Chex,16 10 19
4,DS7_cereal_plain3.png,Caramel,I,98 97 95,"In the 'Caramel' column, give the row names of the candys with the highest 3 values in descending order ",Hersheys Kisses-Pixie Sticks-Crunch Time,27 31 20
4,DS8_cereal_plain4.png,Bar,K,75 73 71,"In the 'Bar' column, give the row names of the candys with the highest 3 values in descending order ",Quarter World-Caramel Apple-Life Savers,31 8 26
4,DS9_candy_color1.png,Bar,H,98 84 80,"In the 'Bar' column, give the row names of the candys with the highest 3 values in descending order ",Gob Stopper-One Dime-Red Vines,22 30 14
4,DS10_candy_color2.png,Fruity,L,60 56 53,"In the 'Fruity' column, give the row names of the candys with the highest 3 values in descending order ",Laffy Taffy-Good Bar-Milk Duds,9 28 12
4,DS11_candy_color3.png,Roger Ebert,I,71 70 68,"In the 'Roger Ebert' column, give the row names of the movies with the highest 3 values in descending order ",End Tour-Black White-My Dreams,21 16 17
4,DS12_candy_color4.png,Fandango,K,75 73 71,"In the 'Fandango' column, give the row names of the movies with the highest 3 values in descending order ",Black Sea-Water Diviner-Hunting Ground,5 21 20
4,DS13_movie_zebra1.png,RottenTomatoes,H,98 84 80,"In the 'RottenTomatoes' column, give the row names of the movies with the highest 3 values in descending order ",Crazy Adventure-Fantastic Four-Black Sea,10 9 20
4,DS14_movie_zebra2.png,Naver,J,71 70 68,"In the 'Naver' column, give the row names of the movies with the highest 3 values in descending order ",Wild Tales-Teenage Girl -My Dreams,18 6 10
4,DS15_movie_zebra3.png,Plan to Watch,D,nan,"In the 'Plan to Watch' column, calculate a rough estimate of the average value",28.89655172413793,D
4,DS16_movie_zebra4.png,Popularity,F,nan,"In the 'Popularity' column, calculate a rough estimate of the average value",62.37931034482759,F
5,DS1_anime_bar1.png,Watching,E,nan,"In the 'Watching' column, calculate a rough estimate of the average value",37.86206896551724,E
5,DS2_anime_bar2.png,Members,G,nan,"In the 'Members' column, calculate a rough estimate of the average value",47.6551724137931,G
5,DS3_anime_bar3.png,51,3,anime,bar,3,Retrieve Value
5,DS4_anime_bar4.png,52,4,anime,bar,4,Retrieve Value
5,DS5_cereal_plain1.png,37,5,cereal,plain,1,Retrieve Value
5,DS6_cereal_plain2.png,38,6,cereal,plain,2,Retrieve Value
5,DS7_cereal_plain3.png,39,7,cereal,plain,3,Retrieve Value
5,DS8_cereal_plain4.png,40,8,cereal,plain,4,Retrieve Value
