task id,Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Task
1,DS1_anime_plain1.png,33,1,anime,plain,1,Filter
1,DS2_anime_plain2.png,34,2,anime,plain,2,Filter
1,DS3_anime_plain3.png,35,3,anime,plain,3,Filter
1,DS4_anime_plain4.png,36,4,anime,plain,4,Filter
1,DS5_cereal_color1.png,5,5,cereal,color,1,Filter
1,DS6_cereal_color2.png,6,6,cereal,color,2,Filter
1,DS7_cereal_color3.png,7,7,cereal,color,3,Filter
1,DS8_cereal_color4.png,8,8,cereal,color,4,Filter
1,DS9_candy_bar1.png,57,9,candy,bar,1,Filter
1,DS10_candy_bar2.png,58,10,candy,bar,2,Filter
1,DS11_candy_bar3.png,59,11,candy,bar,3,Filter
1,DS12_candy_bar4.png,60,12,candy,bar,4,Filter
1,DS13_movie_zebra1.png,29,13,movie,zebra,1,Filter
1,DS14_movie_zebra2.png,30,14,movie,zebra,2,Filter
1,DS15_movie_zebra3.png,31,15,movie,zebra,3,Filter
1,DS16_movie_zebra4.png,32,16,movie,zebra,4,Filter
2,DS1_anime_plain1.png,33,1,anime,plain,1,Correlation
2,DS2_anime_plain2.png,34,2,anime,plain,2,Correlation
2,DS3_anime_plain3.png,35,3,anime,plain,3,Correlation
2,DS4_anime_plain4.png,36,4,anime,plain,4,Correlation
2,DS5_cereal_color1.png,5,5,cereal,color,1,Correlation
2,DS6_cereal_color2.png,6,6,cereal,color,2,Correlation
2,DS7_cereal_color3.png,7,7,cereal,color,3,Correlation
2,DS8_cereal_color4.png,8,8,cereal,color,4,Correlation
2,DS9_candy_bar1.png,57,9,candy,bar,1,Correlation
2,DS10_candy_bar2.png,58,10,candy,bar,2,Correlation
2,DS11_candy_bar3.png,59,11,candy,bar,3,Correlation
2,DS12_candy_bar4.png,60,12,candy,bar,4,Correlation
2,DS13_movie_zebra1.png,29,13,movie,zebra,1,Correlation
2,DS14_movie_zebra2.png,30,14,movie,zebra,2,Correlation
2,DS15_movie_zebra3.png,31,15,movie,zebra,3,Correlation
2,DS16_movie_zebra4.png,32,16,movie,zebra,4,Correlation
3,DS1_anime_plain1.png,33,1,anime,plain,1,Sort
3,DS2_anime_plain2.png,34,2,anime,plain,2,Sort
3,DS3_anime_plain3.png,35,3,anime,plain,3,Sort
3,DS4_anime_plain4.png,36,4,anime,plain,4,Sort
3,DS5_cereal_color1.png,5,5,cereal,color,1,Sort
3,DS6_cereal_color2.png,6,6,cereal,color,2,Sort
3,DS7_cereal_color3.png,7,7,cereal,color,3,Sort
3,DS8_cereal_color4.png,8,8,cereal,color,4,Sort
3,DS9_candy_bar1.png,57,9,candy,bar,1,Sort
3,DS10_candy_bar2.png,58,10,candy,bar,2,Sort
3,DS11_candy_bar3.png,59,11,candy,bar,3,Sort
3,DS12_candy_bar4.png,60,12,candy,bar,4,Sort
3,DS13_movie_zebra1.png,29,13,movie,zebra,1,Sort
3,DS14_movie_zebra2.png,30,14,movie,zebra,2,Sort
3,DS15_movie_zebra3.png,31,15,movie,zebra,3,Sort
3,DS16_movie_zebra4.png,32,16,movie,zebra,4,Sort
4,DS1_anime_plain1.png,33,1,anime,plain,1,Estimate Average
4,DS2_anime_plain2.png,34,2,anime,plain,2,Estimate Average
4,DS3_anime_plain3.png,Calories,H,88 86 83,"In the 'Calories' column, give the row names of the cereals with the highest 3 values in descending order ",Natural Bran-Almond Raisin-Fruity Pebbles,5 19 20
4,DS4_anime_plain4.png,Potassium,I,71 70 68,"In the 'Potassium' column, give the row names of the cereals with the highest 3 values in descending order ",Colorful Bran-Apple Jacks-Wheat Cream,22 3 7
