task id,Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Task
1,DS1_anime_bar1.png,49,1,anime,bar,1,Filter
1,DS2_anime_bar2.png,50,2,anime,bar,2,Filter
1,DS3_anime_bar3.png,51,3,anime,bar,3,Filter
1,DS4_anime_bar4.png,52,4,anime,bar,4,Filter
1,DS5_cereal_color1.png,5,5,cereal,color,1,Filter
1,DS6_cereal_color2.png,6,6,cereal,color,2,Filter
1,DS7_cereal_color3.png,7,7,cereal,color,3,Filter
1,DS8_cereal_color4.png,8,8,cereal,color,4,Filter
1,DS9_candy_zebra1.png,25,9,candy,zebra,1,Filter
1,DS10_candy_zebra2.png,26,10,candy,zebra,2,Filter
1,DS11_candy_zebra3.png,27,11,candy,zebra,3,Filter
1,DS12_candy_zebra4.png,28,12,candy,zebra,4,Filter
1,DS13_movie_plain1.png,45,13,movie,plain,1,Filter
1,DS14_movie_plain2.png,46,14,movie,plain,2,Filter
1,DS15_movie_plain3.png,47,15,movie,plain,3,Filter
1,DS16_movie_plain4.png,48,16,movie,plain,4,Filter
2,DS1_anime_bar1.png,49,1,anime,bar,1,Correlation
2,DS2_anime_bar2.png,50,2,anime,bar,2,Correlation
2,DS3_anime_bar3.png,51,3,anime,bar,3,Correlation
2,DS4_anime_bar4.png,52,4,anime,bar,4,Correlation
2,DS5_cereal_color1.png,5,5,cereal,color,1,Correlation
2,DS6_cereal_color2.png,6,6,cereal,color,2,Correlation
2,DS7_cereal_color3.png,7,7,cereal,color,3,Correlation
2,DS8_cereal_color4.png,8,8,cereal,color,4,Correlation
2,DS9_candy_zebra1.png,25,9,candy,zebra,1,Correlation
2,DS10_candy_zebra2.png,26,10,candy,zebra,2,Correlation
2,DS11_candy_zebra3.png,27,11,candy,zebra,3,Correlation
2,DS12_candy_zebra4.png,28,12,candy,zebra,4,Correlation
2,DS13_movie_plain1.png,45,13,movie,plain,1,Correlation
2,DS14_movie_plain2.png,46,14,movie,plain,2,Correlation
2,DS15_movie_plain3.png,47,15,movie,plain,3,Correlation
2,DS16_movie_plain4.png,48,16,movie,plain,4,Correlation
3,DS1_anime_bar1.png,49,1,anime,bar,1,Sort
3,DS2_anime_bar2.png,50,2,anime,bar,2,Sort
3,DS3_anime_bar3.png,51,3,anime,bar,3,Sort
3,DS4_anime_bar4.png,52,4,anime,bar,4,Sort
3,DS5_cereal_color1.png,5,5,cereal,color,1,Sort
3,DS6_cereal_color2.png,6,6,cereal,color,2,Sort
3,DS7_cereal_color3.png,7,7,cereal,color,3,Sort
3,DS8_cereal_color4.png,8,8,cereal,color,4,Sort
3,DS9_candy_zebra1.png,25,9,candy,zebra,1,Sort
3,DS10_candy_zebra2.png,26,10,candy,zebra,2,Sort
3,DS11_candy_zebra3.png,27,11,candy,zebra,3,Sort
3,DS12_candy_zebra4.png,28,12,candy,zebra,4,Sort
3,DS13_movie_plain1.png,45,13,movie,plain,1,Sort
3,DS14_movie_plain2.png,46,14,movie,plain,2,Sort
3,DS15_movie_plain3.png,47,15,movie,plain,3,Sort
3,DS16_movie_plain4.png,48,16,movie,plain,4,Sort
4,DS1_anime_bar1.png,49,1,anime,bar,1,Estimate Average
4,DS2_anime_bar2.png,50,2,anime,bar,2,Estimate Average
4,DS3_anime_bar3.png,Calories,H,88 86 83,"In the 'Calories' column, give the row names of the cereals with the highest 3 values in descending order ",Natural Bran-Almond Raisin-Fruity Pebbles,5 19 20
4,DS4_anime_bar4.png,Potassium,I,71 70 68,"In the 'Potassium' column, give the row names of the cereals with the highest 3 values in descending order ",Colorful Bran-Apple Jacks-Wheat Cream,22 3 7
4,DS5_cereal_color1.png,Protein,J,60 56 53,"In the 'Protein' column, give the row names of the cereals with the highest 3 values in descending order ",Natural Bran-Golden Crisp-Wonderful Chex,7 23 18
4,DS6_cereal_color2.png,Fat,K,75 73 71,"In the 'Fat' column, give the row names of the cereals with the highest 3 values in descending order ",Grape Flakes-Count Chocula-Golden Crisp,16 10 19
4,DS7_cereal_color3.png,Hard,H,98 84 80,"In the 'Hard' column, give the row names of the candys with the highest 3 values in descending order ",Fun Dips-Crunch Time-Now Later,30 9 11
4,DS8_cereal_color4.png,Almond,K,75 73 71,"In the 'Almond' column, give the row names of the candys with the highest 3 values in descending order ",Fun Dips-Laffy Taffy-Gold Bears,31 8 26
4,DS9_candy_zebra1.png,Nougat,L,75 73 71,"In the 'Nougat' column, give the row names of the candys with the highest 3 values in descending order ",Gold Bears-Fun Dips-Root Barrels,27 12 28
4,DS10_candy_zebra2.png,Fruity,J,98 97 95,"In the 'Fruity' column, give the row names of the candys with the highest 3 values in descending order ",Air Heads-Junior Mints-Haribo Cola,30 19 16
4,DS11_candy_zebra3.png,PluggedIn,I,71 70 68,"In the 'PluggedIn' column, give the row names of the movies with the highest 3 values in descending order ",About Elly-Black White-Divergent Series,21 16 17
4,DS12_candy_zebra4.png,Metacritic,K,75 73 71,"In the 'Metacritic' column, give the row names of the movies with the highest 3 values in descending order ",Irrational Man -Teenage Girl -Mapping Stars,5 21 20
4,DS13_movie_plain1.png,Fandango,H,98 84 80,"In the 'Fandango' column, give the row names of the movies with the highest 3 values in descending order ",Teenage Girl -Irrational Man -Next Door,10 9 20
4,DS14_movie_plain2.png,Netflix,J,71 70 68,"In the 'Netflix' column, give the row names of the movies with the highest 3 values in descending order ",Welcome Home-About Elly-Irrational Man ,18 6 10
4,DS15_movie_plain3.png,Plan to Watch,D,nan,"In the 'Plan to Watch' column, calculate a rough estimate of the average value",28.89655172413793,D
4,DS16_movie_plain4.png,Popularity,F,nan,"In the 'Popularity' column, calculate a rough estimate of the average value",62.37931034482759,F
5,DS1_anime_bar1.png,Watching,E,nan,"In the 'Watching' column, calculate a rough estimate of the average value",37.86206896551724,E
5,DS2_anime_bar2.png,Members,G,nan,"In the 'Members' column, calculate a rough estimate of the average value",47.6551724137931,G
5,DS3_anime_bar3.png,51,3,anime,bar,3,Retrieve Value
5,DS4_anime_bar4.png,52,4,anime,bar,4,Retrieve Value
5,DS5_cereal_color1.png,5,5,cereal,color,1,Retrieve Value
5,DS6_cereal_color2.png,6,6,cereal,color,2,Retrieve Value
5,DS7_cereal_color3.png,7,7,cereal,color,3,Retrieve Value
5,DS8_cereal_color4.png,8,8,cereal,color,4,Retrieve Value
5,DS9_candy_zebra1.png,25,9,candy,zebra,1,Retrieve Value
