task id,Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Task
1,DS1_anime_zebra1.png,17,1,anime,zebra,1,Filter
1,DS2_anime_zebra2.png,18,2,anime,zebra,2,Filter
1,DS3_anime_zebra3.png,19,3,anime,zebra,3,Filter
1,DS4_anime_zebra4.png,20,4,anime,zebra,4,Filter
1,DS5_cereal_color1.png,5,5,cereal,color,1,Filter
1,DS6_cereal_color2.png,6,6,cereal,color,2,Filter
1,DS7_cereal_color3.png,7,7,cereal,color,3,Filter
1,DS8_cereal_color4.png,8,8,cereal,color,4,Filter
1,DS9_candy_plain1.png,41,9,candy,plain,1,Filter
1,DS10_candy_plain2.png,42,10,candy,plain,2,Filter
1,DS11_candy_plain3.png,43,11,candy,plain,3,Filter
1,DS12_candy_plain4.png,44,12,candy,plain,4,Filter
1,DS13_movie_bar1.png,61,13,movie,bar,1,Filter
1,DS14_movie_bar2.png,62,14,movie,bar,2,Filter
1,DS15_movie_bar3.png,63,15,movie,bar,3,Filter
1,DS16_movie_bar4.png,64,16,movie,bar,4,Filter
2,DS1_anime_zebra1.png,17,1,anime,zebra,1,Correlation
2,DS2_anime_zebra2.png,18,2,anime,zebra,2,Correlation
2,DS3_anime_zebra3.png,19,3,anime,zebra,3,Correlation
2,DS4_anime_zebra4.png,20,4,anime,zebra,4,Correlation
2,DS5_cereal_color1.png,5,5,cereal,color,1,Correlation
2,DS6_cereal_color2.png,6,6,cereal,color,2,Correlation
2,DS7_cereal_color3.png,7,7,cereal,color,3,Correlation
2,DS8_cereal_color4.png,8,8,cereal,color,4,Correlation
2,DS9_candy_plain1.png,41,9,candy,plain,1,Correlation
2,DS10_candy_plain2.png,42,10,candy,plain,2,Correlation
2,DS11_candy_plain3.png,43,11,candy,plain,3,Correlation
2,DS12_candy_plain4.png,44,12,candy,plain,4,Correlation
2,DS13_movie_bar1.png,61,13,movie,bar,1,Correlation
2,DS14_movie_bar2.png,62,14,movie,bar,2,Correlation
2,DS15_movie_bar3.png,63,15,movie,bar,3,Correlation
2,DS16_movie_bar4.png,64,16,movie,bar,4,Correlation
3,DS1_anime_zebra1.png,17,1,anime,zebra,1,Sort
3,DS2_anime_zebra2.png,18,2,anime,zebra,2,Sort
3,DS3_anime_zebra3.png,19,3,anime,zebra,3,Sort
3,DS4_anime_zebra4.png,20,4,anime,zebra,4,Sort
3,DS5_cereal_color1.png,5,5,cereal,color,1,Sort
3,DS6_cereal_color2.png,6,6,cereal,color,2,Sort
3,DS7_cereal_color3.png,7,7,cereal,color,3,Sort
3,DS8_cereal_color4.png,8,8,cereal,color,4,Sort
3,DS9_candy_plain1.png,41,9,candy,plain,1,Sort
3,DS10_candy_plain2.png,42,10,candy,plain,2,Sort
3,DS11_candy_plain3.png,43,11,candy,plain,3,Sort
3,DS12_candy_plain4.png,44,12,candy,plain,4,Sort
3,DS13_movie_bar1.png,61,13,movie,bar,1,Sort
3,DS14_movie_bar2.png,62,14,movie,bar,2,Sort
3,DS15_movie_bar3.png,63,15,movie,bar,3,Sort
3,DS16_movie_bar4.png,64,16,movie,bar,4,Sort
4,DS1_anime_zebra1.png,17,1,anime,zebra,1,Estimate Average
4,DS2_anime_zebra2.png,18,2,anime,zebra,2,Estimate Average
4,DS3_anime_zebra3.png,Calories,H,88 86 83,"In the 'Calories' column, give the row names of the cereals with the highest 3 values in descending order ",Natural Bran-Almond Raisin-Fruity Pebbles,5 19 20
4,DS4_anime_zebra4.png,Potassium,I,71 70 68,"In the 'Potassium' column, give the row names of the cereals with the highest 3 values in descending order ",Colorful Bran-Apple Jacks-Wheat Cream,22 3 7
4,DS5_cereal_color1.png,Protein,J,60 56 53,"In the 'Protein' column, give the row names of the cereals with the highest 3 values in descending order ",Natural Bran-Golden Crisp-Wonderful Chex,7 23 18
4,DS6_cereal_color2.png,Fat,K,75 73 71,"In the 'Fat' column, give the row names of the cereals with the highest 3 values in descending order ",Grape Flakes-Count Chocula-Golden Crisp,16 10 19
4,DS7_cereal_color3.png,SugarPercent,H,98 84 80,"In the 'SugarPercent' column, give the row names of the candys with the highest 3 values in descending order ",Gold Bears-Milk Duds-Berry Chews,30 9 11
4,DS8_cereal_color4.png,Chocolate,K,75 73 71,"In the 'Chocolate' column, give the row names of the candys with the highest 3 values in descending order ",Milk Duds-Fruit Chews-Now Later,31 8 26
4,DS9_candy_plain1.png,Almond,L,75 73 71,"In the 'Almond' column, give the row names of the candys with the highest 3 values in descending order ",Pop Rocks-Pixie Sticks-Junior Mints,27 12 28
4,DS10_candy_plain2.png,Pluribus,J,98 97 95,"In the 'Pluribus' column, give the row names of the candys with the highest 3 values in descending order ",Milk Duds-Boston Beans-Hersheys Kisses,30 19 16
4,DS11_candy_plain3.png,Roger Ebert,I,71 70 68,"In the 'Roger Ebert' column, give the row names of the movies with the highest 3 values in descending order ",Adaline Age-Project Almanac-Ricki Flash,21 16 17
