task id,Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Task
1,DS1_anime_color1.png,1,1,anime,color,1,Filter
1,DS2_anime_color2.png,2,2,anime,color,2,Filter
1,DS3_anime_color3.png,3,3,anime,color,3,Filter
1,DS4_anime_color4.png,4,4,anime,color,4,Filter
1,DS5_cereal_plain1.png,37,5,cereal,plain,1,Filter
1,DS6_cereal_plain2.png,38,6,cereal,plain,2,Filter
1,DS7_cereal_plain3.png,39,7,cereal,plain,3,Filter
1,DS8_cereal_plain4.png,40,8,cereal,plain,4,Filter
1,DS9_candy_bar1.png,57,9,candy,bar,1,Filter
1,DS10_candy_bar2.png,58,10,candy,bar,2,Filter
1,DS11_candy_bar3.png,59,11,candy,bar,3,Filter
1,DS12_candy_bar4.png,60,12,candy,bar,4,Filter
1,DS13_movie_zebra1.png,29,13,movie,zebra,1,Filter
1,DS14_movie_zebra2.png,30,14,movie,zebra,2,Filter
1,DS15_movie_zebra3.png,31,15,movie,zebra,3,Filter
1,DS16_movie_zebra4.png,32,16,movie,zebra,4,Filter
2,DS1_anime_color1.png,1,1,anime,color,1,Correlation
2,DS2_anime_color2.png,2,2,anime,color,2,Correlation
2,DS3_anime_color3.png,3,3,anime,color,3,Correlation
2,DS4_anime_color4.png,4,4,anime,color,4,Correlation
2,DS5_cereal_plain1.png,37,5,cereal,plain,1,Correlation
2,DS6_cereal_plain2.png,38,6,cereal,plain,2,Correlation
2,DS7_cereal_plain3.png,39,7,cereal,plain,3,Correlation
2,DS8_cereal_plain4.png,40,8,cereal,plain,4,Correlation
2,DS9_candy_bar1.png,57,9,candy,bar,1,Correlation
2,DS10_candy_bar2.png,58,10,candy,bar,2,Correlation
2,DS11_candy_bar3.png,59,11,candy,bar,3,Correlation
2,DS12_candy_bar4.png,60,12,candy,bar,4,Correlation
2,DS13_movie_zebra1.png,29,13,movie,zebra,1,Correlation
2,DS14_movie_zebra2.png,30,14,movie,zebra,2,Correlation
2,DS15_movie_zebra3.png,31,15,movie,zebra,3,Correlation
2,DS16_movie_zebra4.png,32,16,movie,zebra,4,Correlation
3,DS1_anime_color1.png,1,1,anime,color,1,Sort
3,DS2_anime_color2.png,2,2,anime,color,2,Sort
3,DS3_anime_color3.png,3,3,anime,color,3,Sort
3,DS4_anime_color4.png,4,4,anime,color,4,Sort
