task id,Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Task,1Header, 1Column,1Par 1,1Prompt ,1Answer,1Answer Column / Row,2Header,2Column,2Par 1,2Prompt , 2Answer, 2Answer Column / Row
1.0,DS1_anime_plain1.png,33.0,1.0,anime,plain,1.0,Filter,Score,J,80.0,"In the 'Score' column, count how many cells exceed the value of '80' ",7.0,J,Episodes,C,0.9584557641748676,Determine which of the last 5 columns is most positively correalated with the first column named 'Episodes' ,Completed,I
1.0,DS2_anime_plain2.png,34.0,2.0,anime,plain,2.0,Filter,Plan to Watch,I,70.0,"In the 'Plan to Watch' column, count how many cells exceed the value of '70' ",6.0,I,Plan to Watch,C,0.9790768125482828,Determine which of the last 5 columns is most positively correalated with the first column named 'Plan to Watch' ,Favorites,L
1.0,DS3_anime_plain3.png,35.0,3.0,anime,plain,3.0,Filter,Popularity,G,88.0,"In the 'Popularity' column, count how many cells exceed the value of '88' ",5.0,G,Completed,C,0.9922747576934068,Determine which of the last 5 columns is most positively correalated with the first column named 'Completed' ,Episodes,K
1.0,DS4_anime_plain4.png,36.0,4.0,anime,plain,4.0,Filter,Score,K,43.0,"In the 'Score' column, count how many cells exceed the value of '43' ",8.0,K,Score,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'Score' ,Dropped,J
1.0,DS5_cereal_color1.png,5.0,5.0,cereal,color,1.0,Filter,Sodium,I,57.0,"In the 'Sodium' column, count how many cells exceed the value of '57' ",8.0,I,Potassium,C,0.9994148327618346,Determine which of the last 5 columns is most positively correalated with the first column named 'Potassium' ,Sugars,K
1.0,DS6_cereal_color2.png,6.0,6.0,cereal,color,2.0,Filter,Carbo,H,70.0,"In the 'Carbo' column, count how many cells exceed the value of '70' ",5.0,H,Calories,C,0.9922747576934068,Determine which of the last 5 columns is most positively correalated with the first column named 'Calories' ,Protein,I
1.0,DS7_cereal_color3.png,7.0,7.0,cereal,color,3.0,Filter,Protein,J,45.0,"In the 'Protein' column, count how many cells exceed the value of '45' ",6.0,J,Iron,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'Iron' ,Carbo,J
1.0,DS8_cereal_color4.png,8.0,8.0,cereal,color,4.0,Filter,Fat,K,60.0,"In the 'Fat' column, count how many cells exceed the value of '60' ",7.0,K,Vitamins,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'Vitamins' ,Potassium,L
1.0,DS9_candy_zebra1.png,25.0,9.0,candy,zebra,1.0,Filter,SugarPercent,K,66.0,"In the 'SugarPercent' column, count how many cells exceed the value of '66' ",5.0,K,Hard,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'Hard' ,Chocolate,L
1.0,DS10_candy_zebra2.png,26.0,10.0,candy,zebra,2.0,Filter,Caramel,J,38.0,"In the 'Caramel' column, count how many cells exceed the value of '38' ",8.0,J,SugarPercent,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'SugarPercent' ,Rating,J
1.0,DS11_candy_zebra3.png,27.0,11.0,candy,zebra,3.0,Filter,SugarPercent,G,50.0,"In the 'SugarPercent' column, count how many cells exceed the value of '50' ",7.0,G,Rating,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'Rating' ,Chocolate,K
1.0,DS12_candy_zebra4.png,28.0,12.0,candy,zebra,4.0,Filter,Caramel,I,57.0,"In the 'Caramel' column, count how many cells exceed the value of '57' ",6.0,I,Hard,C,0.992274757693407,Determine which of the last 5 columns is most positively correalated with the first column named 'Hard' ,Nougat,I
1.0,DS13_movie_bar1.png,61.0,13.0,movie,bar,1.0,Filter,Fandango,H,70.0,"In the 'Fandango' column, count how many cells exceed the value of '70' ",5.0,H,Naver,C,0.9922747576934072,Determine which of the last 5 columns is most positively correalated with the first column named 'Naver' ,Roger Ebert,I
1.0,DS14_movie_bar2.png,62.0,14.0,movie,bar,2.0,Filter,Hulu,I,76.0,"In the 'Hulu' column, count how many cells exceed the value of '76' ",8.0,I,MrQE,C,0.9994148327618346,Determine which of the last 5 columns is most positively correalated with the first column named 'MrQE' ,Netflix,L
1.0,DS15_movie_bar3.png,63.0,15.0,movie,bar,3.0,Filter,PluggedIn,J,54.0,"In the 'PluggedIn' column, count how many cells exceed the value of '54' ",7.0,J,RottenTomatoes,C,0.9994148327618346,Determine which of the last 5 columns is most positively correalated with the first column named 'RottenTomatoes' ,Netflix,K
1.0,DS16_movie_bar4.png,64.0,16.0,movie,bar,4.0,Filter,Netflix,G,57.0,"In the 'Netflix' column, count how many cells exceed the value of '57' ",6.0,G,IMDB,C,0.9922747576934068,Determine which of the last 5 columns is most positively correalated with the first column named 'IMDB' ,Fandango,J
2.0,DS1_anime_plain1.png,33.0,1.0,anime,plain,1.0,Correlation,Score,J,80.0,"In the 'Score' column, count how many cells exceed the value of '80' ",7.0,J,Plan to Watch,L,60 56 53,"In the 'Plan to Watch' column, give the row names of the animes with the highest 3 values in descending order ",Different Life-Mobile Phone-Great Teacher,13 18 27
,,,,,,,,,,,,,,Plan to Watch,I,88 86 83,"In the 'Plan to Watch' column, give the row names of the animes with the highest 3 values in descending order ",Connect Angel-Best Humanity-Assassian World,5 18 6
,,,,,,,,,,,,,,Ranked,J,75 73 71,"In the 'Ranked' column, give the row names of the animes with the highest 3 values in descending order ",Ultra Generation-Connect Angel-Magical Warfare,5 10 11
,,,,,,,,,,,,,,Score,K,74 73 70,"In the 'Score' column, give the row names of the animes with the highest 3 values in descending order ",Ultra Generation-Mobile Phone-Ultimate horror,6 24 22
,,,,,,,,,,,,,,Calories,H,88 86 83,"In the 'Calories' column, give the row names of the cereals with the highest 3 values in descending order ",Natural Bran-Almond Raisin-Fruity Pebbles,5 19 20
,,,,,,,,,,,,,,Potassium,I,71 70 68,"In the 'Potassium' column, give the row names of the cereals with the highest 3 values in descending order ",Colorful Bran-Apple Jacks-Wheat Cream,22 3 7
,,,,,,,,,,,,,,Protein,J,60 56 53,"In the 'Protein' column, give the row names of the cereals with the highest 3 values in descending order ",Natural Bran-Golden Crisp-Wonderful Chex,7 23 18
,,,,,,,,,,,,,,Fat,K,75 73 71,"In the 'Fat' column, give the row names of the cereals with the highest 3 values in descending order ",Grape Flakes-Count Chocula-Golden Crisp,16 10 19
,,,,,,,,,,,,,,Hard,H,98 84 80,"In the 'Hard' column, give the row names of the candys with the highest 3 values in descending order ",Fun Dips-Crunch Time-Now Later,30 9 11
,,,,,,,,,,,,,,Almond,K,75 73 71,"In the 'Almond' column, give the row names of the candys with the highest 3 values in descending order ",Fun Dips-Laffy Taffy-Gold Bears,31 8 26
,,,,,,,,,,,,,,Nougat,L,75 73 71,"In the 'Nougat' column, give the row names of the candys with the highest 3 values in descending order ",Gold Bears-Fun Dips-Root Barrels,27 12 28
,,,,,,,,,,,,,,Fruity,J,98 97 95,"In the 'Fruity' column, give the row names of the candys with the highest 3 values in descending order ",Air Heads-Junior Mints-Haribo Cola,30 19 16
,,,,,,,,,,,,,,Roger Ebert,I,71 70 68,"In the 'Roger Ebert' column, give the row names of the movies with the highest 3 values in descending order ",Adaline Age-Project Almanac-Ricki Flash,21 16 17
,,,,,,,,,,,,,,Metacritic,K,75 73 71,"In the 'Metacritic' column, give the row names of the movies with the highest 3 values in descending order ",Fantastic Four-Flights Up-Hunting Ground,5 21 20
,,,,,,,,,,,,,,Film Comment,H,98 84 80,"In the 'Film Comment' column, give the row names of the movies with the highest 3 values in descending order ",South Paw-Next Door-Black Sea,10 9 20
,,,,,,,,,,,,,,Fandango,J,71 70 68,"In the 'Fandango' column, give the row names of the movies with the highest 3 values in descending order ",Wild Tales-End Tour-Tomorrow land,18 6 10
,,,,,,,,,,,,,,Completed,D,,"In the 'Completed' column, calculate a rough estimate of the average value",28.89655172413793,D
,,,,,,,,,,,,,,Ranked,F,,"In the 'Ranked' column, calculate a rough estimate of the average value",62.37931034482759,F
,,,,,,,,,,,,,,Completed,E,,"In the 'Completed' column, calculate a rough estimate of the average value",37.86206896551724,E
,,,,,,,,,,,,,,Members,G,,"In the 'Members' column, calculate a rough estimate of the average value",47.6551724137931,G
,,,,,,,,,,,,,,Vitamins,F,,"In the 'Vitamins' column, calculate a rough estimate of the average value",56.93103448275862,F
,,,,,,,,,,,,,,Score,E,,"In the 'Score' column, calculate a rough estimate of the average value",42.10344827586207,E
,,,,,,,,,,,,,,Fat,D,,"In the 'Fat' column, calculate a rough estimate of the average value",35.62068965517241,D
,,,,,,,,,,,,,,Calories,E,,"In the 'Calories' column, calculate a rough estimate of the average value",52.310344827586206,E
,,,,,,,,,,,,,,Nougat,G,,"In the 'Nougat' column, calculate a rough estimate of the average value",37.86206896551724,G
,,,,,,,,,,,,,,Nougat,D,,"In the 'Nougat' column, calculate a rough estimate of the average value",35.62068965517241,D
,,,,,,,,,,,,,,Price,F,,"In the 'Price' column, calculate a rough estimate of the average value",50.241379310344826,F
,,,,,,,,,,,,,,Almond,G,,"In the 'Almond' column, calculate a rough estimate of the average value",37.86206896551724,G
,,,,,,,,,,,,,,Metacritic,E,,"In the 'Metacritic' column, calculate a rough estimate of the average value",52.310344827586206,E
,,,,,,,,,,,,,,Fandango,G,,"In the 'Fandango' column, calculate a rough estimate of the average value",37.86206896551724,G
,,,,,,,,,,,,,,Metacritic,F,,"In the 'Metacritic' column, calculate a rough estimate of the average value",50.241379310344826,F
,,,,,,,,,,,,,,Hulu,E,,"In the 'Hulu' column, calculate a rough estimate of the average value",52.310344827586206,E
,,,,,,,,,,,,,,Watching,G,15,"In the 'Watching' column, find the  with a value equal to '15' ",Helping Alice,16
,,,,,,,,,,,,,,On-Hold,H,26,"In the 'On-Hold' column, find the  with a value equal to '26' ",Attacking Titan,20
,,,,,,,,,,,,,,On-Hold,I,17,"In the 'On-Hold' column, find the  with a value equal to '17' ",Ultimate horror,16
,,,,,,,,,,,,,,Popularity,J,12,"In the 'Popularity' column, find the  with a value equal to '12' ",Helping Alice,18
,,,,,,,,,,,,,,Iron,K,51,"In the 'Iron' column, find the  with a value equal to '51' ",Corn Favorite,17
,,,,,,,,,,,,,,Carbo,H,32,"In the 'Carbo' column, find the  with a value equal to '32' ",Fruity Pebbles,19
,,,,,,,,,,,,,,Potassium,I,83,"In the 'Potassium' column, find the  with a value equal to '83' ",Corn Favorite,17
,,,,,,,,,,,,,,Fat,K,26,"In the 'Fat' column, find the  with a value equal to '26' ",Wonderful Chex,20
,,,,,,,,,,,,,,Pluribus,J,32,"In the 'Pluribus' column, find the  with a value equal to '32' ",Root Barrels,19
,,,,,,,,,,,,,,Almond,K,52,"In the 'Almond' column, find the  with a value equal to '52' ",Cheese Bears,16
,,,,,,,,,,,,,,Nougat,L,52,"In the 'Nougat' column, find the  with a value equal to '52' ",Milk Duds,15
,,,,,,,,,,,,,,Nougat,K,59,"In the 'Nougat' column, find the  with a value equal to '59' ",Haribo Cola,16
,,,,,,,,,,,,,,IMDB,J,67,"In the 'IMDB' column, find the  with a value equal to '67' ",South Paw,20
,,,,,,,,,,,,,,Hulu,I,79,"In the 'Hulu' column, find the  with a value equal to '79' ",Saint Laurent,18
,,,,,,,,,,,,,,Naver,L,73,"In the 'Naver' column, find the  with a value equal to '73' ",End Tour,19
,,,,,,,,,,,,,,Film Comment,K,31,"In the 'Film Comment' column, find the  with a value equal to '31' ",Next Door,17
