task id,Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Task
1,DS1_anime_zebra1.png,17,1,anime,zebra,1,Filter
1,DS2_anime_zebra2.png,18,2,anime,zebra,2,Filter
1,DS3_anime_zebra3.png,19,3,anime,zebra,3,Filter
1,DS4_anime_zebra4.png,20,4,anime,zebra,4,Filter
1,DS5_cereal_plain1.png,37,5,cereal,plain,1,Filter
1,DS6_cereal_plain2.png,38,6,cereal,plain,2,Filter
1,DS7_cereal_plain3.png,39,7,cereal,plain,3,Filter
1,DS8_cereal_plain4.png,40,8,cereal,plain,4,Filter
1,DS9_candy_color1.png,9,9,candy,color,1,Filter
1,DS10_candy_color2.png,10,10,candy,color,2,Filter
1,DS11_candy_color3.png,11,11,candy,color,3,Filter
1,DS12_candy_color4.png,12,12,candy,color,4,Filter
1,DS13_movie_bar1.png,61,13,movie,bar,1,Filter
1,DS14_movie_bar2.png,62,14,movie,bar,2,Filter
1,DS15_movie_bar3.png,63,15,movie,bar,3,Filter
1,DS16_movie_bar4.png,64,16,movie,bar,4,Filter
2,DS1_anime_zebra1.png,17,1,anime,zebra,1,Correlation
2,DS2_anime_zebra2.png,18,2,anime,zebra,2,Correlation
2,DS3_anime_zebra3.png,19,3,anime,zebra,3,Correlation
2,DS4_anime_zebra4.png,20,4,anime,zebra,4,Correlation
2,DS5_cereal_plain1.png,37,5,cereal,plain,1,Correlation
2,DS6_cereal_plain2.png,38,6,cereal,plain,2,Correlation
2,DS7_cereal_plain3.png,39,7,cereal,plain,3,Correlation
2,DS8_cereal_plain4.png,40,8,cereal,plain,4,Correlation
2,DS9_candy_color1.png,9,9,candy,color,1,Correlation
2,DS10_candy_color2.png,10,10,candy,color,2,Correlation
2,DS11_candy_color3.png,11,11,candy,color,3,Correlation
2,DS12_candy_color4.png,12,12,candy,color,4,Correlation
2,DS13_movie_bar1.png,61,13,movie,bar,1,Correlation
2,DS14_movie_bar2.png,62,14,movie,bar,2,Correlation
2,DS15_movie_bar3.png,63,15,movie,bar,3,Correlation
2,DS16_movie_bar4.png,64,16,movie,bar,4,Correlation
3,DS1_anime_zebra1.png,17,1,anime,zebra,1,Sort
3,DS2_anime_zebra2.png,18,2,anime,zebra,2,Sort
3,DS3_anime_zebra3.png,19,3,anime,zebra,3,Sort
3,DS4_anime_zebra4.png,20,4,anime,zebra,4,Sort
3,DS5_cereal_plain1.png,37,5,cereal,plain,1,Sort
3,DS6_cereal_plain2.png,38,6,cereal,plain,2,Sort
3,DS7_cereal_plain3.png,39,7,cereal,plain,3,Sort
3,DS8_cereal_plain4.png,40,8,cereal,plain,4,Sort
3,DS9_candy_color1.png,9,9,candy,color,1,Sort
3,DS10_candy_color2.png,10,10,candy,color,2,Sort
3,DS11_candy_color3.png,11,11,candy,color,3,Sort
3,DS12_candy_color4.png,12,12,candy,color,4,Sort
3,DS13_movie_bar1.png,61,13,movie,bar,1,Sort
3,DS14_movie_bar2.png,62,14,movie,bar,2,Sort
3,DS15_movie_bar3.png,63,15,movie,bar,3,Sort
3,DS16_movie_bar4.png,64,16,movie,bar,4,Sort
4,DS1_anime_zebra1.png,17,1,anime,zebra,1,Estimate Average
4,DS2_anime_zebra2.png,18,2,anime,zebra,2,Estimate Average
4,DS3_anime_zebra3.png,Carbo,H,88 86 83,"In the 'Carbo' column, give the row names of the cereals with the highest 3 values in descending order ",Oatmeal Crisp-Wheat Cream-Grape Flakes,5 19 20
4,DS4_anime_zebra4.png,Potassium,I,71 70 68,"In the 'Potassium' column, give the row names of the cereals with the highest 3 values in descending order ",Corn Favorite-Frosted Flakes-Natural Bran,22 3 7
4,DS5_cereal_plain1.png,Score,J,60 56 53,"In the 'Score' column, give the row names of the cereals with the highest 3 values in descending order ",Count Chocula-Wonderful Chex-Almond Delight,7 23 18
4,DS6_cereal_plain2.png,Vitamins,K,75 73 71,"In the 'Vitamins' column, give the row names of the cereals with the highest 3 values in descending order ",Froot Loops-Count Chocula-Bran Chex,16 10 19
4,DS7_cereal_plain3.png,Caramel,I,98 97 95,"In the 'Caramel' column, give the row names of the candys with the highest 3 values in descending order ",Hersheys Kisses-Pixie Sticks-Crunch Time,27 31 20
4,DS8_cereal_plain4.png,Bar,K,75 73 71,"In the 'Bar' column, give the row names of the candys with the highest 3 values in descending order ",Quarter World-Caramel Apple-Life Savers,31 8 26
4,DS9_candy_color1.png,Bar,H,98 84 80,"In the 'Bar' column, give the row names of the candys with the highest 3 values in descending order ",Gob Stopper-One Dime-Red Vines,22 30 14
4,DS10_candy_color2.png,Fruity,L,60 56 53,"In the 'Fruity' column, give the row names of the candys with the highest 3 values in descending order ",Laffy Taffy-Good Bar-Milk Duds,9 28 12
4,DS11_candy_color3.png,Roger Ebert,I,71 70 68,"In the 'Roger Ebert' column, give the row names of the movies with the highest 3 values in descending order ",Adaline Age-Project Almanac-Ricki Flash,21 16 17
