task id,Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Task
1,DS1_anime_plain1.png,33,1,anime,plain,1,Filter
1,DS2_anime_plain2.png,34,2,anime,plain,2,Filter
1,DS3_anime_plain3.png,35,3,anime,plain,3,Filter
1,DS4_anime_plain4.png,36,4,anime,plain,4,Filter
1,DS5_cereal_zebra1.png,21,5,cereal,zebra,1,Filter
1,DS6_cereal_zebra2.png,22,6,cereal,zebra,2,Filter
1,DS7_cereal_zebra3.png,23,7,cereal,zebra,3,Filter
1,DS8_cereal_zebra4.png,24,8,cereal,zebra,4,Filter
1,DS9_candy_color1.png,9,9,candy,color,1,Filter
1,DS10_candy_color2.png,10,10,candy,color,2,Filter
1,DS11_candy_color3.png,11,11,candy,color,3,Filter
1,DS12_candy_color4.png,12,12,candy,color,4,Filter
1,DS13_movie_bar1.png,61,13,movie,bar,1,Filter
1,DS14_movie_bar2.png,62,14,movie,bar,2,Filter
1,DS15_movie_bar3.png,63,15,movie,bar,3,Filter
1,DS16_movie_bar4.png,64,16,movie,bar,4,Filter
2,DS1_anime_plain1.png,33,1,anime,plain,1,Correlation
2,DS2_anime_plain2.png,34,2,anime,plain,2,Correlation
2,DS3_anime_plain3.png,35,3,anime,plain,3,Correlation
2,DS4_anime_plain4.png,36,4,anime,plain,4,Correlation
2,DS5_cereal_zebra1.png,21,5,cereal,zebra,1,Correlation
2,DS6_cereal_zebra2.png,22,6,cereal,zebra,2,Correlation
2,DS7_cereal_zebra3.png,23,7,cereal,zebra,3,Correlation
2,DS8_cereal_zebra4.png,24,8,cereal,zebra,4,Correlation
2,DS9_candy_color1.png,9,9,candy,color,1,Correlation
2,DS10_candy_color2.png,10,10,candy,color,2,Correlation
2,DS11_candy_color3.png,11,11,candy,color,3,Correlation
2,DS12_candy_color4.png,12,12,candy,color,4,Correlation
2,DS13_movie_bar1.png,61,13,movie,bar,1,Correlation
2,DS14_movie_bar2.png,62,14,movie,bar,2,Correlation
2,DS15_movie_bar3.png,63,15,movie,bar,3,Correlation
2,DS16_movie_bar4.png,64,16,movie,bar,4,Correlation
3,DS1_anime_plain1.png,33,1,anime,plain,1,Sort
3,DS2_anime_plain2.png,34,2,anime,plain,2,Sort
3,DS3_anime_plain3.png,35,3,anime,plain,3,Sort
3,DS4_anime_plain4.png,36,4,anime,plain,4,Sort
3,DS5_cereal_zebra1.png,21,5,cereal,zebra,1,Sort
3,DS6_cereal_zebra2.png,22,6,cereal,zebra,2,Sort
3,DS7_cereal_zebra3.png,23,7,cereal,zebra,3,Sort
3,DS8_cereal_zebra4.png,24,8,cereal,zebra,4,Sort
3,DS9_candy_color1.png,9,9,candy,color,1,Sort
3,DS10_candy_color2.png,10,10,candy,color,2,Sort
3,DS11_candy_color3.png,11,11,candy,color,3,Sort
3,DS12_candy_color4.png,12,12,candy,color,4,Sort
3,DS13_movie_bar1.png,61,13,movie,bar,1,Sort
3,DS14_movie_bar2.png,62,14,movie,bar,2,Sort
3,DS15_movie_bar3.png,63,15,movie,bar,3,Sort
3,DS16_movie_bar4.png,64,16,movie,bar,4,Sort
4,DS1_anime_plain1.png,33,1,anime,plain,1,Estimate Average
4,DS2_anime_plain2.png,34,2,anime,plain,2,Estimate Average
4,DS3_anime_plain3.png,Vitamins,H,88 86 83,"In the 'Vitamins' column, give the row names of the cereals with the highest 3 values in descending order ",Cap Crunch-Corn Favorite-Raisin Bran,5 19 20
4,DS4_anime_plain4.png,Protein,I,71 70 68,"In the 'Protein' column, give the row names of the cereals with the highest 3 values in descending order ",Smile Maker-Natural Bran-Fruity Pebbles,22 3 7
