task id,Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Task
1,DS1_anime_plain1.png,33,1,anime,plain,1,Filter
1,DS2_anime_plain2.png,34,2,anime,plain,2,Filter
1,DS3_anime_plain3.png,35,3,anime,plain,3,Filter
1,DS4_anime_plain4.png,36,4,anime,plain,4,Filter
1,DS5_cereal_bar1.png,53,5,cereal,bar,1,Filter
1,DS6_cereal_bar2.png,54,6,cereal,bar,2,Filter
1,DS7_cereal_bar3.png,55,7,cereal,bar,3,Filter
1,DS8_cereal_bar4.png,56,8,cereal,bar,4,Filter
1,DS9_candy_zebra1.png,25,9,candy,zebra,1,Filter
1,DS10_candy_zebra2.png,26,10,candy,zebra,2,Filter
1,DS11_candy_zebra3.png,27,11,candy,zebra,3,Filter
1,DS12_candy_zebra4.png,28,12,candy,zebra,4,Filter
1,DS13_movie_color1.png,13,13,movie,color,1,Filter
1,DS14_movie_color2.png,14,14,movie,color,2,Filter
1,DS15_movie_color3.png,15,15,movie,color,3,Filter
1,DS16_movie_color4.png,16,16,movie,color,4,Filter
2,DS1_anime_plain1.png,33,1,anime,plain,1,Correlation
2,DS2_anime_plain2.png,34,2,anime,plain,2,Correlation
2,DS3_anime_plain3.png,35,3,anime,plain,3,Correlation
2,DS4_anime_plain4.png,36,4,anime,plain,4,Correlation
2,DS5_cereal_bar1.png,53,5,cereal,bar,1,Correlation
2,DS6_cereal_bar2.png,54,6,cereal,bar,2,Correlation
2,DS7_cereal_bar3.png,55,7,cereal,bar,3,Correlation
2,DS8_cereal_bar4.png,56,8,cereal,bar,4,Correlation
2,DS9_candy_zebra1.png,25,9,candy,zebra,1,Correlation
2,DS10_candy_zebra2.png,26,10,candy,zebra,2,Correlation
2,DS11_candy_zebra3.png,27,11,candy,zebra,3,Correlation
2,DS12_candy_zebra4.png,28,12,candy,zebra,4,Correlation
2,DS13_movie_color1.png,13,13,movie,color,1,Correlation
2,DS14_movie_color2.png,14,14,movie,color,2,Correlation
2,DS15_movie_color3.png,15,15,movie,color,3,Correlation
2,DS16_movie_color4.png,16,16,movie,color,4,Correlation
3,DS1_anime_plain1.png,33,1,anime,plain,1,Sort
3,DS2_anime_plain2.png,34,2,anime,plain,2,Sort
3,DS3_anime_plain3.png,35,3,anime,plain,3,Sort
3,DS4_anime_plain4.png,36,4,anime,plain,4,Sort
3,DS5_cereal_bar1.png,53,5,cereal,bar,1,Sort
3,DS6_cereal_bar2.png,54,6,cereal,bar,2,Sort
3,DS7_cereal_bar3.png,55,7,cereal,bar,3,Sort
3,DS8_cereal_bar4.png,56,8,cereal,bar,4,Sort
3,DS9_candy_zebra1.png,25,9,candy,zebra,1,Sort
3,DS10_candy_zebra2.png,26,10,candy,zebra,2,Sort
3,DS11_candy_zebra3.png,27,11,candy,zebra,3,Sort
3,DS12_candy_zebra4.png,28,12,candy,zebra,4,Sort
3,DS13_movie_color1.png,13,13,movie,color,1,Sort
3,DS14_movie_color2.png,14,14,movie,color,2,Sort
3,DS15_movie_color3.png,15,15,movie,color,3,Sort
3,DS16_movie_color4.png,16,16,movie,color,4,Sort
4,DS1_anime_plain1.png,33,1,anime,plain,1,Estimate Average
4,DS2_anime_plain2.png,34,2,anime,plain,2,Estimate Average
4,DS3_anime_plain3.png,Calories,H,88 86 83,"In the 'Calories' column, give the row names of the cereals with the highest 3 values in descending order ",Lucky Charms-Smile Maker-Wonderful Chex,5 19 20
4,DS4_anime_plain4.png,Potassium,I,71 70 68,"In the 'Potassium' column, give the row names of the cereals with the highest 3 values in descending order ",Froot Loops-Almond Delight-Post Nat,22 3 7
