task id,Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Task,1Header,1Column,1Par 1,1Prompt,1Answer,1Answer Column / Row
1.0,DS1_anime_color1.png,1.0,1.0,anime,color,1.0,Filter,Watching,J,80,"In the 'Watching' column, count how many cells exceed the value of '80' ",7,J
1.0,DS2_anime_color2.png,2.0,2.0,anime,color,2.0,Filter,Popularity,I,70,"In the 'Popularity' column, count how many cells exceed the value of '70' ",6,I
1.0,DS3_anime_color3.png,3.0,3.0,anime,color,3.0,Filter,Watching,G,88,"In the 'Watching' column, count how many cells exceed the value of '88' ",5,G
1.0,DS4_anime_color4.png,4.0,4.0,anime,color,4.0,Filter,Members,K,43,"In the 'Members' column, count how many cells exceed the value of '43' ",8,K
1.0,DS5_cereal_zebra1.png,21.0,5.0,cereal,zebra,1.0,Filter,Sodium,I,57,"In the 'Sodium' column, count how many cells exceed the value of '57' ",8,I
1.0,DS6_cereal_zebra2.png,22.0,6.0,cereal,zebra,2.0,Filter,Score,H,70,"In the 'Score' column, count how many cells exceed the value of '70' ",5,H
1.0,DS7_cereal_zebra3.png,23.0,7.0,cereal,zebra,3.0,Filter,Carbo,J,45,"In the 'Carbo' column, count how many cells exceed the value of '45' ",6,J
1.0,DS8_cereal_zebra4.png,24.0,8.0,cereal,zebra,4.0,Filter,Sodium,K,60,"In the 'Sodium' column, count how many cells exceed the value of '60' ",7,K
1.0,DS9_candy_plain1.png,41.0,9.0,candy,plain,1.0,Filter,Fruity,K,66,"In the 'Fruity' column, count how many cells exceed the value of '66' ",5,K
1.0,DS10_candy_plain2.png,42.0,10.0,candy,plain,2.0,Filter,Rating,J,38,"In the 'Rating' column, count how many cells exceed the value of '38' ",8,J
1.0,DS11_candy_plain3.png,43.0,11.0,candy,plain,3.0,Filter,Pluribus,G,50,"In the 'Pluribus' column, count how many cells exceed the value of '50' ",7,G
1.0,DS12_candy_plain4.png,44.0,12.0,candy,plain,4.0,Filter,Nougat,I,57,"In the 'Nougat' column, count how many cells exceed the value of '57' ",6,I
1.0,DS13_movie_bar1.png,61.0,13.0,movie,bar,1.0,Filter,Fandango,H,70,"In the 'Fandango' column, count how many cells exceed the value of '70' ",5,H
1.0,DS14_movie_bar2.png,62.0,14.0,movie,bar,2.0,Filter,Hulu,I,76,"In the 'Hulu' column, count how many cells exceed the value of '76' ",8,I
1.0,DS15_movie_bar3.png,63.0,15.0,movie,bar,3.0,Filter,PluggedIn,J,54,"In the 'PluggedIn' column, count how many cells exceed the value of '54' ",7,J
1.0,DS16_movie_bar4.png,64.0,16.0,movie,bar,4.0,Filter,Netflix,G,57,"In the 'Netflix' column, count how many cells exceed the value of '57' ",6,G
2.0,DS1_anime_color1.png,1.0,1.0,anime,color,1.0,Correlation,Episodes,C,0.9584557641748676,Determine which of the last 5 columns is most positively correalated with the first column named 'Episodes' ,Completed,I
2.0,DS2_anime_color2.png,2.0,2.0,anime,color,2.0,Correlation,Plan to Watch,C,0.9790768125482828,Determine which of the last 5 columns is most positively correalated with the first column named 'Plan to Watch' ,Favorites,L
2.0,DS3_anime_color3.png,3.0,3.0,anime,color,3.0,Correlation,Completed,C,0.9922747576934068,Determine which of the last 5 columns is most positively correalated with the first column named 'Completed' ,Episodes,K
2.0,DS4_anime_color4.png,4.0,4.0,anime,color,4.0,Correlation,Score,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'Score' ,Dropped,J
2.0,DS5_cereal_zebra1.png,21.0,5.0,cereal,zebra,1.0,Correlation,Potassium,C,0.9994148327618346,Determine which of the last 5 columns is most positively correalated with the first column named 'Potassium' ,Sugars,K
2.0,DS6_cereal_zebra2.png,22.0,6.0,cereal,zebra,2.0,Correlation,Calories,C,0.9922747576934068,Determine which of the last 5 columns is most positively correalated with the first column named 'Calories' ,Protein,I
2.0,DS7_cereal_zebra3.png,23.0,7.0,cereal,zebra,3.0,Correlation,Iron,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'Iron' ,Carbo,J
2.0,DS8_cereal_zebra4.png,24.0,8.0,cereal,zebra,4.0,Correlation,Vitamins,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'Vitamins' ,Potassium,L
2.0,DS9_candy_plain1.png,41.0,9.0,candy,plain,1.0,Correlation,Hard,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'Hard' ,Chocolate,L
2.0,DS10_candy_plain2.png,42.0,10.0,candy,plain,2.0,Correlation,SugarPercent,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'SugarPercent' ,Rating,J
