Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,T1_Header,T1_Column,T1_Par,T1_Prompt,T1_Answer,T1_Answer Column / Row,T2_Header,T2_Column,T2_Par,T2_Prompt,T2_Answer,T2_Answer Column / Row,T3_Header,T3_Column,T3_Par,T3_Prompt,T3_Answer,T3_Answer Column / Row,T4_Header,T4_Column,T4_Par,T4_Prompt,T4_Answer,T4_Answer Column / Row,T5_Header,T5_Column,T5_Par,T5_Prompt,T5_Answer,T5_Answer Column / Row
DS1_anime_color1.png,1,1,anime,color,1,Watching,J,80,"In the 'Watching' column, count how many cells exceed the value of '80' ",7,J,Episodes,C,0.909210283,Determine which of the last 5 columns is most positively correalated with the first column named 'Episodes' ,Completed,I,Dropped,L,60 56 53,"In the 'Dropped' column, give the row names of the animes with the highest 3 values in descending order ",Fafnar Weapon-Connect Angel-Dragon Ball,13 18 27,Score,D,,"In the 'Score' column, calculate a rough estimate of the average value",28.89655172,D,Members,G,15,"In the 'Members' column, find the anime with a value equal to '15' ",Metal Panic,16
DS2_anime_color2.png,2,2,anime,color,2,Popularity,I,70,"In the 'Popularity' column, count how many cells exceed the value of '70' ",6,I,Plan to Watch,C,0.942863334,Determine which of the last 5 columns is most positively correalated with the first column named 'Plan to Watch' ,Favorites,L,Popularity,I,88 86 83,"In the 'Popularity' column, give the row names of the animes with the highest 3 values in descending order ",Different Life-Connect Angel-Assassian World,5 18 6,Episodes,F,,"In the 'Episodes' column, calculate a rough estimate of the average value",66.90214352,F,Ranked,H,26,"In the 'Ranked' column, find the anime with a value equal to '26' ",Monster Hunter,20
DS3_anime_color3.png,3,3,anime,color,3,Watching,G,88,"In the 'Watching' column, count how many cells exceed the value of '88' ",5,G,Completed,C,0.973062733,Determine which of the last 5 columns is most positively correalated with the first column named 'Completed' ,Episodes,K,On-Hold,J,75 73 71,"In the 'On-Hold' column, give the row names of the animes with the highest 3 values in descending order ",Dragon Ball-Different Life-Connect Angel,5 10 11,Members,E,,"In the 'Members' column, calculate a rough estimate of the average value",37.86206897,E,Dropped,I,17,"In the 'Dropped' column, find the anime with a value equal to '17' ",Magical Warfare,16
DS4_anime_color4.png,4,4,anime,color,4,Members,K,43,"In the 'Members' column, count how many cells exceed the value of '43' ",8,K,Score,C,0.954489514,Determine which of the last 5 columns is most positively correalated with the first column named 'Score' ,Dropped,J,Members,K,74 73 70,"In the 'Members' column, give the row names of the animes with the highest 3 values in descending order ",Different Life-Fafnar Weapon-Travel World,6 24 22,Favorites,G,,"In the 'Favorites' column, calculate a rough estimate of the average value",47.65517241,G,Dropped,J,12,"In the 'Dropped' column, find the anime with a value equal to '12' ",Metal Panic,18
DS5_cereal_zebra1.png,21,5,cereal,zebra,1,Sodium,I,57,"In the 'Sodium' column, count how many cells exceed the value of '57' ",8,I,Potassium,C,0.918483604,Determine which of the last 5 columns is most positively correalated with the first column named 'Potassium' ,Sugars,K,Vitamins,H,88 86 83,"In the 'Vitamins' column, give the row names of the cereals with the highest 3 values in descending order ",Cap Crunch-Corn Favorite-Raisin Bran,5 19 20,Fiber,F,,"In the 'Fiber' column, calculate a rough estimate of the average value",56.93103448,F,Sugars,K,51,"In the 'Sugars' column, find the cereal with a value equal to '51' ",Wonderful Chex,17
DS6_cereal_zebra2.png,22,6,cereal,zebra,2,Score,H,70,"In the 'Score' column, count how many cells exceed the value of '70' ",5,H,Calories,C,0.94466458,Determine which of the last 5 columns is most positively correalated with the first column named 'Calories' ,Protein,I,Protein,I,71 70 68,"In the 'Protein' column, give the row names of the cereals with the highest 3 values in descending order ",Smile Maker-Natural Bran-Fruity Pebbles,22 3 7,Fiber,G,,"In the 'Fiber' column, calculate a rough estimate of the average value",52.31034483,G,Score,H,32,"In the 'Score' column, find the cereal with a value equal to '32' ",Wheat Cream,19
DS7_cereal_zebra3.png,23,7,cereal,zebra,3,Carbo,J,45,"In the 'Carbo' column, count how many cells exceed the value of '45' ",6,J,Iron,C,0.915948706,Determine which of the last 5 columns is most positively correalated with the first column named 'Iron' ,Carbo,J,Carbo,J,60 56 53,"In the 'Carbo' column, give the row names of the cereals with the highest 3 values in descending order ",Cinnamon Toast-Cap Crunch-Mini Wheats,7 23 18,Sugars,D,,"In the 'Sugars' column, calculate a rough estimate of the average value",35.62068966,D,Protein,I,83,"In the 'Protein' column, find the cereal with a value equal to '83' ",Lucky Charms,17
DS8_cereal_zebra4.png,24,8,cereal,zebra,4,Sodium,K,60,"In the 'Sodium' column, count how many cells exceed the value of '60' ",7,K,Vitamins,C,0.909418419,Determine which of the last 5 columns is most positively correalated with the first column named 'Vitamins' ,Potassium,L,Sodium,K,75 73 71,"In the 'Sodium' column, give the row names of the cereals with the highest 3 values in descending order ",Wonderful Chex-Bran Chex-Raisin Bran,16 10 19,Score,E,,"In the 'Score' column, calculate a rough estimate of the average value",52.31034483,E,Sodium,K,26,"In the 'Sodium' column, find the cereal with a value equal to '26' ",Wheat Cream,20
DS9_candy_bar1.png,57,9,candy,bar,1,Rating,K,66,"In the 'Rating' column, count how many cells exceed the value of '66' ",5,K,Hard,C,0.952484022,Determine which of the last 5 columns is most positively correalated with the first column named 'Hard' ,Chocolate,L,Caramel,H,98 84 80,"In the 'Caramel' column, give the row names of the candys with the highest 3 values in descending order ",Lemon Head-Junior Mints-Gob Stopper,30 9 11,Chocolate,G,,"In the 'Chocolate' column, calculate a rough estimate of the average value",37.86206897,G,Pluribus,J,32,"In the 'Pluribus' column, find the candy with a value equal to '32' ",Pixie Sticks,19
DS10_candy_bar2.png,58,10,candy,bar,2,Caramel,J,38,"In the 'Caramel' column, count how many cells exceed the value of '38' ",8,J,SugarPercent,C,0.910224308,Determine which of the last 5 columns is most positively correalated with the first column named 'SugarPercent' ,Rating,J,Price,K,75 73 71,"In the 'Price' column, give the row names of the candys with the highest 3 values in descending order ",Now Later-Milk Duds-Crunch Time,31 8 26,Nougat,D,,"In the 'Nougat' column, calculate a rough estimate of the average value",35.62068966,D,Price,K,68,"In the 'Price' column, find the candy with a value equal to '68' ",Hersheys Kisses,17
