Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,T1_Header,T1_Column,T1_Par,T1_Prompt,T1_Answer,T1_Answer Column / Row,T2_Header,T2_Column,T2_Par,T2_Prompt,T2_Answer,T2_Answer Column / Row,T3_Header,T3_Column,T3_Par,T3_Prompt,T3_Answer,T3_Answer Column / Row,T4_Header,T4_Column,T4_Par,T4_Prompt,T4_Answer,T4_Answer Column / Row,T5_Header,T5_Column,T5_Par,T5_Prompt,T5_Answer,T5_Answer Column / Row
DS1_anime_bar1.png,49,1,anime,bar,1,Completed,J,80,"In the 'Completed' column, count how many cells exceed the value of '80' ",7,J,Episodes,C,0.909210283,Determine which of the last 5 columns is most positively correalated with the first column named 'Episodes' ,Completed,I,Episodes,L,60 56 53,"In the 'Episodes' column, give the row names of the animes with the highest 3 values in descending order ",Dragon Ball-Magical Warfare-Queen Kingdom,13 18 27,Plan to Watch,D,,"In the 'Plan to Watch' column, calculate a rough estimate of the average value",28.89655172,D,Ranked,G,15,"In the 'Ranked' column, find the anime with a value equal to '15' ",Best Humanity,16
DS2_anime_bar2.png,50,2,anime,bar,2,Members,I,70,"In the 'Members' column, count how many cells exceed the value of '70' ",6,I,Plan to Watch,C,0.942863334,Determine which of the last 5 columns is most positively correalated with the first column named 'Plan to Watch' ,Favorites,L,Members,I,88 86 83,"In the 'Members' column, give the row names of the animes with the highest 3 values in descending order ",Connect Angel-Beating Music-Hungry Heart,5 18 6,Popularity,F,,"In the 'Popularity' column, calculate a rough estimate of the average value",62.37931034,F,Watching,H,26,"In the 'Watching' column, find the anime with a value equal to '26' ",Queen Kingdom,20
DS3_anime_bar3.png,51,3,anime,bar,3,Ranked,G,88,"In the 'Ranked' column, count how many cells exceed the value of '88' ",5,G,Completed,C,0.973062733,Determine which of the last 5 columns is most positively correalated with the first column named 'Completed' ,Episodes,K,Favorites,J,75 73 71,"In the 'Favorites' column, give the row names of the animes with the highest 3 values in descending order ",King Ranking-Ultimate horror-Queen Kingdom,5 10 11,Watching,E,,"In the 'Watching' column, calculate a rough estimate of the average value",37.86206897,E,Plan to Watch,I,17,"In the 'Plan to Watch' column, find the anime with a value equal to '17' ",Great Teacher,16
DS4_anime_bar4.png,52,4,anime,bar,4,Score,K,43,"In the 'Score' column, count how many cells exceed the value of '43' ",8,K,Score,C,0.954489514,Determine which of the last 5 columns is most positively correalated with the first column named 'Score' ,Dropped,J,Score,K,74 73 70,"In the 'Score' column, give the row names of the animes with the highest 3 values in descending order ",Ultra Generation-Mobile Phone-Ultimate horror,6 24 22,Members,G,,"In the 'Members' column, calculate a rough estimate of the average value",47.65517241,G,Popularity,J,12,"In the 'Popularity' column, find the anime with a value equal to '12' ",Helping Alice,18
DS5_cereal_plain1.png,37,5,cereal,plain,1,Potassium,I,57,"In the 'Potassium' column, count how many cells exceed the value of '57' ",8,I,Potassium,C,0.918483604,Determine which of the last 5 columns is most positively correalated with the first column named 'Potassium' ,Sugars,K,Carbo,H,88 86 83,"In the 'Carbo' column, give the row names of the cereals with the highest 3 values in descending order ",Oatmeal Crisp-Wheat Cream-Grape Flakes,5 19 20,Sugars,F,,"In the 'Sugars' column, calculate a rough estimate of the average value",56.93103448,F,Sodium,K,51,"In the 'Sodium' column, find the cereal with a value equal to '51' ",Bran Chex,17
DS6_cereal_plain2.png,38,6,cereal,plain,2,Carbo,H,70,"In the 'Carbo' column, count how many cells exceed the value of '70' ",5,H,Calories,C,0.950482702,Determine which of the last 5 columns is most positively correalated with the first column named 'Calories' ,Protein,I,Potassium,I,71 70 68,"In the 'Potassium' column, give the row names of the cereals with the highest 3 values in descending order ",Corn Favorite-Frosted Flakes-Natural Bran,22 3 7,Score,E,,"In the 'Score' column, calculate a rough estimate of the average value",42.10344828,E,Carbo,H,32,"In the 'Carbo' column, find the cereal with a value equal to '32' ",Double Chex,19
DS7_cereal_plain3.png,39,7,cereal,plain,3,Score,J,45,"In the 'Score' column, count how many cells exceed the value of '45' ",6,J,Iron,C,0.915948706,Determine which of the last 5 columns is most positively correalated with the first column named 'Iron' ,Carbo,J,Score,J,60 56 53,"In the 'Score' column, give the row names of the cereals with the highest 3 values in descending order ",Count Chocula-Wonderful Chex-Almond Delight,7 23 18,Vitamins,D,,"In the 'Vitamins' column, calculate a rough estimate of the average value",35.62068966,D,Protein,I,83,"In the 'Protein' column, find the cereal with a value equal to '83' ",Smile Maker,17
DS8_cereal_plain4.png,40,8,cereal,plain,4,Vitamins,K,60,"In the 'Vitamins' column, count how many cells exceed the value of '60' ",7,K,Vitamins,C,0.909418419,Determine which of the last 5 columns is most positively correalated with the first column named 'Vitamins' ,Potassium,L,Vitamins,K,75 73 71,"In the 'Vitamins' column, give the row names of the cereals with the highest 3 values in descending order ",Froot Loops-Count Chocula-Bran Chex,16 10 19,Potassium,E,,"In the 'Potassium' column, calculate a rough estimate of the average value",52.31034483,E,Vitamins,K,26,"In the 'Vitamins' column, find the cereal with a value equal to '26' ",Frosted Flakes,20
DS9_candy_zebra1.png,25,9,candy,zebra,1,SugarPercent,K,66,"In the 'SugarPercent' column, count how many cells exceed the value of '66' ",5,K,Hard,C,0.952484022,Determine which of the last 5 columns is most positively correalated with the first column named 'Hard' ,Chocolate,L,Hard,H,98 84 80,"In the 'Hard' column, give the row names of the candys with the highest 3 values in descending order ",Fun Dips-Crunch Time-Now Later,30 9 11,Nougat,G,,"In the 'Nougat' column, calculate a rough estimate of the average value",37.86206897,G,Pluribus,J,32,"In the 'Pluribus' column, find the candy with a value equal to '32' ",Root Barrels,19
DS10_candy_zebra2.png,26,10,candy,zebra,2,Caramel,J,38,"In the 'Caramel' column, count how many cells exceed the value of '38' ",8,J,SugarPercent,C,0.910224308,Determine which of the last 5 columns is most positively correalated with the first column named 'SugarPercent' ,Rating,J,Almond,K,75 73 71,"In the 'Almond' column, give the row names of the candys with the highest 3 values in descending order ",Fun Dips-Laffy Taffy-Gold Bears,31 8 26,Nougat,D,,"In the 'Nougat' column, calculate a rough estimate of the average value",35.62068966,D,Almond,K,52,"In the 'Almond' column, find the candy with a value equal to '52' ",Cheese Bears,16
